od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(21074943, 299330502)",53.5663356,9.9763019,53.5704536,9.9560574,1.5743249999999998,73.1938,0.26383249999999997,1.5743249999999998,73.1938,0.26383249999999997,True,1.5743249999999998,73.1938,0.26383249999999997,True
"(13870880, 25737301)",53.5548102,10.0063504,53.545959,10.0030688,1.2109189999999999,93.3198,0.23949189999999998,1.2109189999999999,93.3198,0.23949189999999998,True,1.2109189999999999,93.3198,0.23949189999999998,True
"(18161556, 36571763)",53.5690523,9.9665865,53.5453109,9.9761572,3.461683,235.53539999999998,0.5687683,3.6987720000000004,212.7996,0.5907772000000001,False,3.461683,235.53539999999998,0.5687683,True
"(16334337, 20823484)",53.5642452,9.9771988,53.567535,9.9585321,1.532032,93.2529,0.25040320000000005,1.532032,93.2529,0.25040320000000005,True,1.532032,93.2529,0.25040320000000005,True
"(82661975, 25075703)",53.546389,9.9561618,53.5466853,9.9865002,2.8773020000000002,136.2485,0.44103020000000004,2.8773020000000002,136.2485,0.44103020000000004,True,2.8773020000000002,136.2485,0.44103020000000004,True
"(20948559, 71088464)",53.5747125,9.9756449,53.54649,9.9633169,4.052801,213.97639999999998,0.6677801,4.052801,213.97639999999998,0.6677801,True,4.052801,213.97639999999998,0.6677801,True
"(205068921, 18653570)",53.5520806,9.9979424,53.556599,9.9842101,1.8428959999999996,170.19169999999997,0.3670896,1.8428959999999996,170.19169999999997,0.3670896,True,1.8428959999999996,170.19169999999997,0.3670896,True
"(25737304, 5856138169)",53.5432539,9.9933577,53.5464936,9.9655009,2.027745,124.3626,0.3595745,2.027745,124.3626,0.3595745,True,2.027745,124.3626,0.3595745,True
"(499471943, 205083191)",53.567325,10.0012113,53.550023,9.9938797,2.6896360000000006,183.8544,0.4362636000000001,2.7180299999999997,177.11190000000002,0.457103,False,2.6896360000000006,183.8544,0.4362636000000001,True
"(743152160, 205068921)",53.5414237,9.9936722,53.5520806,9.9979424,1.747973,188.8178,0.40519730000000004,1.747973,188.8178,0.40519730000000004,True,1.747973,188.8178,0.40519730000000004,True
"(18653519, 1503302041)",53.5596965,9.9821722,53.571806,9.9613154,2.6599320000000004,166.3612,0.44919320000000007,3.0947200000000006,165.25130000000001,0.4771720000000001,False,2.6599320000000004,166.3612,0.44919320000000007,True
"(41756640, 1503302046)",53.5703248,9.9885108,53.5723357,9.9593073,2.6054519999999997,176.4889,0.4465452,2.629931,156.75060000000002,0.45499310000000004,False,2.6054519999999997,176.4889,0.4465452,True
"(243867714, 3032466755)",53.5452765,9.9752436,53.5459725,9.9693443,0.481084,82.3361,0.1189084,0.481084,82.3361,0.1189084,True,0.481084,82.3361,0.1189084,True
"(20948555, 52181920)",53.5725003,9.9708153,53.5489111,9.9741521,3.2279769999999997,224.5494,0.5668977,3.2279769999999997,224.5494,0.5668977,True,3.2279769999999997,224.5494,0.5668977,True
"(7437784481, 483421341)",53.5734053,9.9630617,53.5495582,9.9624143,3.226165,268.0342,0.5650165,4.1423190000000005,215.70929999999998,0.6866319000000001,False,3.226165,268.0342,0.5650165,True
"(371195936, 1975693617)",53.5500753,10.0061008,53.5539122,10.0036849,0.553592,95.65270000000001,0.1349592,0.553592,95.65270000000001,0.1349592,True,0.553592,95.65270000000001,0.1349592,True
"(250385407, 483421341)",53.5476627,10.000799,53.5495582,9.9624143,2.590681,115.2203,0.45146810000000004,2.590681,115.2203,0.45146810000000004,True,2.590681,115.2203,0.45146810000000004,True
"(250385407, 1448902087)",53.5476627,10.000799,53.5694163,9.9600233,4.506362,195.77960000000002,0.7307362000000001,4.506362,195.77960000000002,0.7307362000000001,True,4.506362,195.77960000000002,0.7307362000000001,True
"(7437784481, 1562385921)",53.5734053,9.9630617,53.5605683,9.9584468,2.0190859999999997,147.28979999999999,0.3587086,2.156301,137.0815,0.36083010000000004,False,2.0190859999999997,147.28979999999999,0.3587086,True
"(87996299, 8541234721)",53.5489729,9.9598774,53.5651187,9.9649832,2.832596,280.6862,0.49775959999999997,3.024497,218.3077,0.5029497,False,2.832596,280.6862,0.49775959999999997,True
"(20948559, 87987015)",53.5747125,9.9756449,53.5488133,9.9675285,3.351432,215.3216,0.5895432,3.351432,215.3216,0.5895432,True,3.351432,215.3216,0.5895432,True
"(1506769104, 1705496743)",53.5471277,9.9536853,53.5494147,9.9779658,1.824402,116.39939999999999,0.3424402000000001,1.824402,116.39939999999999,0.3424402000000001,True,1.824402,116.39939999999999,0.3424402000000001,True
"(16738085, 61221089)",53.5667711,9.9959139,53.5519609,9.9672594,3.1551889999999996,113.99959999999999,0.4931189,3.1551889999999996,113.99959999999999,0.4931189,True,3.1551889999999996,113.99959999999999,0.4931189,True
"(201834503, 21074938)",53.5512536,10.0048386,53.5648822,9.9945456,2.440293,250.1972,0.46242930000000004,2.440293,250.1972,0.46242930000000004,True,2.440293,250.1972,0.46242930000000004,True
"(36571734, 3847471328)",53.551189,9.9822209,53.5401088,9.9963862,2.54301,247.24360000000001,0.45290100000000005,2.6433199999999997,239.87810000000002,0.47673199999999993,False,2.54301,247.24360000000001,0.45290100000000005,True
"(297242778, 1524487555)",53.564322,9.9622224,53.5559868,9.9793768,2.0781840000000003,192.2053,0.38501840000000004,2.167446,159.9418,0.3407446,False,2.167446,159.9418,0.3407446,False
"(52172612, 205083191)",53.5471938,9.9662783,53.550023,9.9938797,2.13158,138.039,0.346958,2.13158,138.039,0.346958,True,2.13158,138.039,0.346958,True
"(1975693623, 71088464)",53.5542567,10.004577,53.54649,9.9633169,3.6084389999999997,247.28289999999998,0.6806439,3.8268219999999995,180.66320000000002,0.6179821999999999,False,3.8268219999999995,180.66320000000002,0.6179821999999999,False
"(9006869435, 299330502)",53.5710569,9.9808755,53.5704536,9.9560574,2.192051,159.4273,0.41720510000000005,2.192051,159.4273,0.41720510000000005,True,2.192051,159.4273,0.41720510000000005,True
"(205067293, 481220563)",53.5530016,9.9964522,53.5632536,9.9605576,3.8312649999999997,205.8218,0.6505265,3.8312649999999997,205.8218,0.6505265,True,3.859762,211.9413,0.6311762000000001,False
"(1503302046, 17704910)",53.5723357,9.9593073,53.5565105,9.9525048,2.2208870000000003,153.1993,0.3738887,2.2208870000000003,153.1993,0.3738887,True,2.2208870000000003,153.1993,0.3738887,True
"(61221089, 32206474)",53.5519609,9.9672594,53.5567755,9.9926721,2.3347470000000006,138.0806,0.40467470000000005,2.3347470000000006,138.0806,0.40467470000000005,True,2.3347470000000006,138.0806,0.40467470000000005,True
"(266199670, 29547198)",53.5575023,9.9931739,53.5708267,9.9565814,3.3195419999999998,180.45319999999998,0.5648542,3.3195419999999998,180.45319999999998,0.5648542,True,3.3195419999999998,180.45319999999998,0.5648542,True
"(76463178, 87987015)",53.5436098,10.001932,53.5488133,9.9675285,2.884156,260.83480000000003,0.5836156,3.1805529999999997,241.99869999999999,0.5681552999999999,False,3.1805529999999997,241.99869999999999,0.5681552999999999,False
"(203903342, 205083191)",53.5486084,10.0008671,53.550023,9.9938797,0.671544,92.5444,0.15445440000000002,0.671544,92.5444,0.15445440000000002,True,0.671544,92.5444,0.15445440000000002,True
"(5894513588, 18653570)",53.5497729,9.9567775,53.556599,9.9842101,2.3788590000000003,192.383,0.43068590000000007,2.3788590000000003,192.383,0.43068590000000007,True,2.3788590000000003,192.383,0.43068590000000007,True
"(757036909, 16956679)",53.5434407,9.9951469,53.5692009,9.9740677,4.03855,313.9718,0.7406550000000001,4.453964,297.7432,0.8056964000000001,False,4.03855,313.9718,0.7406550000000001,True
"(3847369274, 3032426990)",53.5421634,9.9960842,53.5464827,9.9700038,2.063536,136.9707,0.3571536,2.063536,136.9707,0.3571536,True,2.063536,136.9707,0.3571536,True
"(2110876265, 199166130)",53.5492015,9.988013,53.5442493,9.9826283,0.973684,68.2281,0.21466840000000004,0.973684,68.2281,0.21466840000000004,True,0.973684,68.2281,0.21466840000000004,True
"(13892003, 20823482)",53.555559,10.0007738,53.5692152,9.9570041,3.927749,258.89189999999996,0.6756749000000001,3.927749,258.89189999999996,0.6756749000000001,True,3.927749,258.89189999999996,0.6756749000000001,True
"(199166130, 205069136)",53.5442493,9.9826283,53.5540275,10.0015284,2.0008049999999997,170.8147,0.38218050000000003,2.319457,160.88330000000002,0.4211457,False,2.0008049999999997,170.8147,0.38218050000000003,True
"(25737304, 77777643)",53.5432539,9.9933577,53.5456703,9.9971936,0.4941960000000001,48.381299999999996,0.09941960000000001,0.4941960000000001,48.381299999999996,0.09941960000000001,True,0.4941960000000001,48.381299999999996,0.09941960000000001,True
"(205068921, 87958789)",53.5520806,9.9979424,53.5497051,9.9648699,2.889601,302.98810000000003,0.5879601000000001,3.214928,214.17270000000002,0.5987928,False,2.889601,302.98810000000003,0.5879601000000001,True
"(1503301995, 20823484)",53.5688775,9.9586597,53.567535,9.9585321,0.196748,20.0152,0.037274800000000004,0.196748,20.0152,0.037274800000000004,True,0.196748,20.0152,0.037274800000000004,True
"(18130092, 21074933)",53.5463809,9.9970343,53.5641052,9.9925305,2.768998,208.6669,0.5005998,2.768998,208.6669,0.5005998,True,2.768998,208.6669,0.5005998,True
"(1503302047, 370038609)",53.5723644,9.9589009,53.5705531,9.9830854,2.518843,172.5915,0.4170843,2.518843,172.5915,0.4170843,True,2.518843,172.5915,0.4170843,True
"(34022781, 29547198)",53.5502083,9.9902177,53.5708267,9.9565814,3.8945759999999994,219.53979999999999,0.6614576,4.113073999999999,200.5769,0.7253073999999999,False,3.8945759999999994,219.53979999999999,0.6614576,True
"(568514110, 20948570)",53.5663068,9.9529576,53.5697546,9.9704199,1.5936020000000004,135.7939,0.27346020000000004,1.9229970000000003,132.1295,0.33109970000000005,False,1.5936020000000004,135.7939,0.27346020000000004,True
"(299329195, 20823484)",53.5692913,9.9662224,53.567535,9.9585321,0.579316,18.5592,0.0843316,0.579316,18.5592,0.0843316,True,0.579316,18.5592,0.0843316,True
"(2071928295, 484926802)",53.5507188,10.0047553,53.5495959,9.9697558,2.745246,230.73579999999998,0.5274246,2.745246,230.73579999999998,0.5274246,True,2.745246,230.73579999999998,0.5274246,True
"(36571734, 1758964136)",53.551189,9.9822209,53.5494846,9.9965217,1.7125720000000002,164.3953,0.30395720000000004,1.8441029999999998,141.4242,0.3292103,False,1.763344,198.90619999999998,0.3030344,False
"(259406385, 5856138169)",53.5443596,9.980562,53.5464936,9.9655009,1.050805,54.0116,0.19068050000000003,1.050805,54.0116,0.19068050000000003,True,1.050805,54.0116,0.19068050000000003,True
"(1975693617, 77777607)",53.5539122,10.0036849,53.5443781,9.9935905,1.665193,167.4734,0.3010193,1.665193,167.4734,0.3010193,True,1.665193,167.4734,0.3010193,True
"(18130092, 3032426990)",53.5463809,9.9970343,53.5464827,9.9700038,2.02501,133.7379,0.374101,2.02501,133.7379,0.374101,True,2.02501,133.7379,0.374101,True
"(481220563, 218172662)",53.5632536,9.9605576,53.5508445,9.9699772,1.612816,108.0924,0.27968160000000003,1.612816,108.0924,0.27968160000000003,True,1.612816,108.0924,0.27968160000000003,True
"(2110876265, 16956679)",53.5492015,9.988013,53.5692009,9.9740677,2.770892,177.90099999999998,0.4810892,2.770892,177.90099999999998,0.4810892,True,2.770892,177.90099999999998,0.4810892,True
"(21654999, 25075703)",53.548029,10.0082544,53.5466853,9.9865002,1.948107,127.27459999999999,0.3340107,1.948107,127.27459999999999,0.3340107,True,1.948107,127.27459999999999,0.3340107,True
"(1503302046, 203903342)",53.5723357,9.9593073,53.5486084,10.0008671,4.576339,239.0428,0.7472339000000001,4.576339,239.0428,0.7472339000000001,True,4.576339,239.0428,0.7472339000000001,True
"(18130098, 53120722)",53.5455268,9.9843797,53.5640419,9.9771173,2.454174,188.02870000000001,0.4522174,2.454174,188.02870000000001,0.4522174,True,2.454174,188.02870000000001,0.4522174,True
"(1506769104, 16334337)",53.5471277,9.9536853,53.5642452,9.9771988,3.0440769999999993,263.9684,0.5708076999999999,3.0440769999999993,263.9684,0.5708076999999999,True,3.0440769999999993,263.9684,0.5708076999999999,True
"(21074938, 76463158)",53.5648822,9.9945456,53.5427736,9.9850464,3.146282,286.09490000000005,0.5808282,3.5704239999999996,257.7128,0.6723424,False,3.146282,286.09490000000005,0.5808282,True
"(246348622, 7437784481)",53.5522142,9.9772894,53.5734053,9.9630617,3.2919929999999997,288.0494,0.5891993,3.8243770000000006,166.9705,0.5724377,False,3.8243770000000006,166.9705,0.5724377,False
"(297242778, 1506769104)",53.564322,9.9622224,53.5471277,9.9536853,2.42392,169.9148,0.401592,2.4819310000000003,159.9418,0.38689310000000005,False,2.4819310000000003,159.9418,0.38689310000000005,False
"(16334337, 371195936)",53.5642452,9.9771988,53.5500753,10.0061008,2.732598,152.6848,0.4892598,2.732598,152.6848,0.4892598,True,2.732598,152.6848,0.4892598,True
"(16957989, 1503301995)",53.5457543,9.9538878,53.5688775,9.9586597,3.5412050000000006,291.5591,0.6169205000000001,3.880711,229.45749999999998,0.6604711,False,3.652646,302.3235,0.6128646,False
"(93195007, 499170115)",53.5551545,10.0098174,53.5500226,9.9694163,3.3514119999999994,214.8949,0.6148412,3.3514119999999994,214.8949,0.6148412,True,3.3514119999999994,214.8949,0.6148412,True
"(266199067, 32206485)",53.5576058,9.9930987,53.5576228,9.9837969,0.932867,140.9257,0.22568670000000002,0.932867,140.9257,0.22568670000000002,True,0.932867,140.9257,0.22568670000000002,True
