Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663233825000;53,5559838;9,9726365;1,54;;60,8;0;;;;;;;;;;;;;;
1663233826000;53,5559807;9,9726647;2,58;2,58;60,8;0;1,04;2795;8;0;495;0;3298;0;0,00036939964157706087;0,0009840806451612903;300;7,294666725548482;0;11,164027128978615
1663233827000;53,5559659;9,9727069;4,32;4,32;60,8;0;1,7400000000000002;7833;38;0;829;0;8700;0;0,0009744623655913978;0,0025959677419354838;300;15,532235207400957;0;38,89062535243681
1663233828000;53,5559292;9,9727586;5,86;5,86;60,8;0;1,54;10229;96;0;1125;0;11450;0;0,0012824820788530464;0,003416532258064516;300;25,681658410085657;0;72,00604270571328
1663233829000;53,5558789;9,9728081;7,53;7,53;60,8;0;1,67;14590;204;0;1445;0;16239;0;0,0018188844086021504;0,004845508064516129;300;39,21122361935056;0;114,32811910947808
1663233830000;53,5558039;9,972882;7,67;7,67;60,8;0;0,13999999999999968;1388;216;0;1472;0;3076;0;0,00034453405017921144;0,0009178387096774193;300;42,631747572624754;0;114,3484785457664
1663233831000;53,5557642;9,9729266;6,9;6,9;60,8;0;-0,7699999999999996;-7321;157;0;1325;0;0;0;0;0;300;41,71363461474129;0;107,53464889589847
1663233832000;53,5557142;9,972977;7,51;7,51;60,8;0;0,6099999999999994;5735;203;0;1442;0;7380;0;0,0008266129032258063;0,002202096774193548;300;41,82063486634673;0;118,25807564841125
1663233833000;53,5556609;9,9730242;6,83;6,83;60,8;0;-0,6799999999999997;-6363;152;0;1311;0;0;0;0;0;300;41,15649545094721;0;112,32025526785993
1663233834000;53,555611;9,9730678;6,31;6,31;60,8;0;-0,5200000000000005;-4459;120;0;1211;0;0;0;0;0;300;40,413046599419076;0;107,5885378975316
1663233835000;53,5555458;9,9731258;6,48;6,48;60,8;0;0,17000000000000082;1418;130;0;1244;0;2792;0;0,00031272401433691757;0,0008330967741935484;300;39,88321639096187;0;108,80688260434626
1663233836000;53,5555077;9,9731612;6,23;6,23;60,8;0;-0,25;-2074;115;0;1196;0;0;0;0;0;284,0374462380927;39,38147625156844;0;104,67699786823985
1663233837000;53,5554646;9,973204;5,75;5,75;60,8;0;-0,4800000000000004;-3753;91;0;1104;0;0;0;0;0;262,35167391115345;38,898590199428575;0;101,2846600508829
1663233838000;53,5554221;9,973243;5,32;5,32;60,8;0;-0,4299999999999997;-3106;72;0;1021;0;0;0;0;0;245,385033041556;38,48743374080515;0;98,45444658301687
1663233839000;53,5553822;9,973284;5,02;5,02;60,8;0;-0,3000000000000007;-2025;60;0;963;0;0;0;0;0;231,48835400184257;38,14874049108164;0;95,99705715270494
1663233840000;53,5553444;9,973326;5;5;60,8;0;-0,019999999999999574;-131;59;0;960;0;888;0;0,00009946236559139784;0,0002649677419354839;219,12789371334193;37,82959457408733;0;95,223332470478
1663233841000;53,5553061;9,9733687;4,92;4,92;60,8;0;-0,08000000000000007;-518;57;0;944;0;483;0;0,000054099462365591396;0,0001441209677419355;208,22826930572597;37,53801890671529;0;93,82424943450327
1663233842000;53,5552703;9,9734067;4,56;4,56;60,8;0;-0,3600000000000003;-2227;45;0;875;0;0;0;0;0;199,245512884945;37,32561134019003;0;91,90241863298229
1663233843000;53,5552364;9,9734463;4,48;4,48;60,8;0;-0,07999999999999918;-472;43;0;860;0;431;0;0,000048275089605734766;0,00012860483870967744;191,174302601251;37,129157661851465;0;90,80553429322292
1663233844000;53,5552048;9,9734866;4,3;4,3;60,8;0;-0,1800000000000006;-1032;38;0;825;0;0;0;0;0;184,09774571517792;36,97230731730299;0;89,14071761072631
1663233845000;53,5551749;9,973525;3,97;3,97;60,8;0;-0,3299999999999996;-1781;30;0;762;0;0;0;0;0;178,15894963811562;36,899040752776045;0;87,71492665333764
1663233846000;53,5551501;9,9735568;3,12;3,12;60,8;0;-0,8500000000000001;-3933;14;0;599;0;0;0;0;0;174,1438002929169;37,13327949054319;0;86,78688563240242
1663233847000;53,5551286;9,9735832;2,54;2,54;60,8;0;-0,5800000000000001;-2143;7;0;487;0;0;0;0;0;171,30339844254104;37,61804343139926;0;86,16402915250349
1663233848000;53,5551042;9,9736116;2,67;2,67;60,8;0;0,1299999999999999;441;9;0;512;0;962;0;0,00010775089605734766;0,00028704838709677416;169,7117964867616;37,638052767905506;0;86,79485548070402
1663233849000;53,5550876;9,9736323;2,58;2,58;60,8;0;-0,08999999999999986;-309;8;0;495;0;194;0;0,00002172939068100358;0,00005788709677419355;166,13599873310017;36,99872295174151;0;85,95555004467572
1663233850000;53,5550728;9,9736505;1,83;1,83;60,8;0;-0,75;-2159;2;0;351;0;0;0;0;0;163,68967689787672;36,507963942836135;0;85,09665748502745
1663233851000;53,5550618;9,9736588;1,1;1,1;60,8;0;-0,73;-1396;0;0;211;0;0;0;0;0;162,25357349551857;36,19930120682912;0;84,49932312195723
1663233852000;53,5550529;9,9736663;1,43;1,43;60,8;0;0,32999999999999985;544;1;0;274;0;819;0;0,00009173387096774192;0,0002443790322580645;162,39069807791782;35,816362966052985;0;85,02879762189491
1663233853000;53,5550337;9,9736788;2,38;2,38;60,8;0;0,95;2361;6;0;457;0;2824;0;0,00031630824372759855;0,0008426451612903226;167,7685969055093;35,27089517427666;0;88,20446808905706
1663233854000;53,5550081;9,9736802;3,43;3,43;60,8;0;1,0500000000000003;3980;19;0;658;0;4657;0;0,0005216173835125447;0,001389588709677419;177,17116446287014;34,69212764403801;0;93,61124619167288
1663233855000;53,5549588;9,973652;5,31;5,31;60,8;0;1,8799999999999994;10721;71;0;1019;0;11811;0;0,0013229166666666665;0,0035242499999999996;205,93754579295958;34,54612981782088;0;108,35681180761787
1663233856000;53,5549003;9,9735973;7,07;7,07;60,8;0;1,7600000000000007;14217;169;0;1357;0;15743;0;0,0017633288530465947;0,004697508064516129;240,7860573607706;35,53259990003785;0;127,12332663552547
1663233857000;53,5548264;9,9735339;8,86;8,86;60,8;0;1,7899999999999991;18605;333;0;1701;0;20639;0;0,002311715949820788;0,00615841129032258;282,2841073489458;38,440295977590964;0;150,50831133240305
1663233858000;53,5547255;9,9734416;10,45;10,45;60,8;0;1,5899999999999999;20033;547;0;2006;0;22586;0;0,0025297939068100353;0,006739370967741934;300;43,60668146552655;0;173,96152611098347
1663233859000;53,5546472;9,9733704;11,06;11,06;60,8;0;0,6100000000000012;8561;648;0;2123;0;11332;0;0,0012692652329749103;0,0033813225806451613;300;49,31082391463097;0;181,37553116805017
1663233860000;53,5545612;9,9732897;11,05;11,05;60,8;0;-0,009999999999999787;-145;647;0;2121;0;2623;0;0,0002937948028673835;0,0007826693548387098;300;53,3403685573582;0;177,17843944635737
1663233861000;53,5544727;9,9732042;11,66;11,66;60,8;0;0,6099999999999994;9039;760;0;2239;0;12038;0;0,00134834229390681;0,003591983870967742;300;56,46538896018626;0;182,7613064241546
1663233862000;53,5543806;9,9731183;11,71;11,71;60,8;0;0,05000000000000071;762;770;0;2248;0;3780;0;0,00042338709677419353;0,0011279032258064516;285,8476966353277;58,97672726802659;0;178,7901806347798
1663233863000;53,5542862;9,9730337;12,02;12,02;60,8;0;0,3099999999999987;4799;832;0;2308;0;7939;0;0,0008892249103942652;0,0023688951612903224;278,20264735159293;61,33349289479331;0;179,19100500504587
1663233864000;53,5541907;9,9729475;12;12;60,8;0;-0,019999999999999574;-314;828;0;2304;0;2818;0;0,00031563620071684587;0,0008408548387096775;262,24837426687037;63,177351381438854;0;174,42528365325475
1663233865000;53,5540927;9,9728591;12,44;12,44;60,8;0;0,4399999999999995;7016;923;0;2388;0;10327;0;0,001156698028673835;0,0030814435483870967;259,97188038768513;65,11002789666388;0;176,85345816336292
1663233866000;53,5539906;9,9727662;12,76;12,76;60,8;0;0,3200000000000003;5261;996;0;2450;0;8707;0;0,0009752464157706093;0,0025980564516129034;254,49216306444612;66,987457954756;0;177,33816941615146
1663233867000;53,5538885;9,9726735;12,73;12,73;60,8;0;-0,02999999999999936;-499;989;0;2444;0;2934;0;0,00032862903225806453;0,000875467741935484;241,109794158644;68,46729775913585;0;172,70453964568168
1663233868000;53,5537862;9,9725832;12,78;12,78;60,8;0;0,049999999999998934;832;1001;0;2454;0;4287;0;0,00048017473118279567;0,0012791854838709678;230,22235620303908;69,70433885749992;0;169,49647561444965
1663233869000;53,5536843;9,9724909;13,02;13,02;60,8;0;0,2400000000000002;4040;1058;0;2500;0;7598;0;0,0008510304659498207;0,0022671451612903226;224,74954122193574;70,90310880781101;0;169,03046916870602
1663233870000;53,5535775;9,9723961;13,24;13,24;60,8;0;0,22000000000000064;3769;1113;0;2542;0;7424;0;0,0008315412186379928;0,002215225806451613;219,1706790719365;72,05311730765808;0;168,29793308314123
1663233871000;53,5534707;9,9723001;13,33;13,33;60,8;0;0,08999999999999986;1560;1136;0;2559;0;5255;0;0,0005885976702508961;0,0015680241935483873;211,0765660019072;73,06072897054773;0;165,9126605224977
1663233872000;53,5533652;9,972205;13,07;13,07;60,8;0;-0,2599999999999998;-4479;1070;0;2509;0;0;0;0;0;201,8969526874638;73,70824170874083;0;160,01828766396522
1663233873000;53,5532628;9,9721121;12,84;12,84;60,8;0;-0,23000000000000043;-3889;1015;0;2465;0;0;0;0;0;193,6138227934301;74,09605990159146;0;154,61442566314003
1663233874000;53,5531609;9,9720208;13,07;13,07;60,8;0;0,23000000000000043;3888;1070;0;2509;0;7467;0;0,0008363575268817204;0,0022280564516129033;190,30793804235785;74,52931218411007;0;154,46236689060572
1663233875000;53,553054;9,9719256;13,38;13,38;60,8;0;0,3100000000000005;5350;1148;0;2569;0;9067;0;0,0010155689964157705;0,0027054758064516127;188,65982297065742;75,04969672447157;0;155,1964489762123
1663233876000;53,5529459;9,9718309;13,6;13,6;60,8;0;0,21999999999999886;3872;1206;0;2611;0;7689;0;0,0008612231182795698;0,002294298387096774;185,40036859685097;75,59852046907272;0;154,89458761045304
1663233877000;53,5528371;9,9717358;13,87;13,87;60,8;0;0,2699999999999996;4839;1279;0;2663;0;8781;0;0,000983534946236559;0,0026201370967741935;183,19785119396656;76,20160491462428;0;155,13576359610542
1663233878000;53,5527024;9,9716149;13,92;13,92;60,8;0;0,05000000000000071;906;1293;0;2673;0;4872;0;0,0005456989247311827;0,0014537419354838709;177,2229626349723;76,73334239725669;0;153,0169137308034
1663233879000;53,5526111;9,9715323;13,68;13,68;60,8;0;-0,2400000000000002;-4323;1227;0;2626;0;0;0;0;0;170,9197730113626;77,06183641777876;0;148,3287982470958
1663233880000;53,5525108;9,971444;13,43;13,43;60,8;0;-0,25;-4423;1161;0;2578;0;0;0;0;0;165,1536182827674;77,22333455309905;0;143,99892005207454
1663233881000;53,5524091;9,9713498;13,41;13,41;60,8;0;-0,019999999999999574;-351;1156;0;2575;0;3380;0;0,00037858422939068094;0,001008548387096774;159,7595488256331;77,33869788173094;0;141,73092771371907
1663233882000;53,552306;9,9712579;13,36;13,36;60,8;0;-0,05000000000000071;-874;1143;0;2565;0;2834;0;0,00031742831541218636;0,0008456290322580645;154,71630692258302;77,403958408485;0;139,3062302975713
1663233883000;53,5522011;9,9711647;13,25;13,25;60,8;0;-0,10999999999999943;-1910;1115;0;2544;0;1749;0;0,00019590053763440858;0,0005218790322580645;150,01589160670355;77,40649836228181;0;136,487145460314
1663233884000;53,552096;9,9710693;13,23;13,23;60,8;0;-0,019999999999999574;-346;1110;0;2540;0;3304;0;0,0003700716845878136;0,0009858709677419354;145,59150004165343;77,38502417202213;0;134,5832347471241
1663233885000;53,5519902;9,9709741;13,25;13,25;60,8;0;0,019999999999999574;345;1115;0;2544;0;4004;0;0,00044847670250896057;0,001194741935483871;141,677902202935;77,35540129589272;0;133,09966016387682
1663233886000;53,5518861;9,9708805;13,19;13,19;60,8;0;-0,0600000000000005;-1036;1100;0;2532;0;2596;0;0,0002907706093189964;0,0007746129032258065;137,73186327097483;77,29584117525813;0;131,03735317256653
1663233887000;53,5517811;9,970788;13,17;13,17;60,8;0;-0,019999999999999574;-344;1095;0;2529;0;3280;0;0,00036738351254480287;0,000978709677419355;133,9999884135226;77,22174921867465;0;129,38858862997148
1663233888000;53,5516798;9,9706945;13,01;13,01;60,8;0;-0,16000000000000014;-2734;1056;0;2498;0;820;0;0,00009184587813620072;0,0002446774193548387;130,5093112234764;77,09972139104264;0;126,75086023533098
1663233889000;53,5515793;9,9706032;12,74;12,74;60,8;0;-0,2699999999999996;-4537;991;0;2446;0;0;0;0;0;127,27149038632075;76,91342941381073;0;123,94253851842547
1663233890000;53,5514796;9,9705157;12,4;12,4;60,8;0;-0,33999999999999986;-5578;914;0;2381;0;0;0;0;0;124,28340748672126;76,66280470058578;0;121,34289042530703
1663233891000;53,551387;9,9704315;11,56;11,56;60,8;0;-0,8399999999999999;-13133;740;0;2219;0;0;0;0;0;121,65884610251143;76,2944698846123;0;119,06087891967164
1663233892000;53,5513096;9,9703623;9,74;9,74;60,8;0;-1,8200000000000003;-25295;443;0;1870;0;0;0;0;0;119,62109960252343;75,83121874383427;0;117,31402299298017
1663233893000;53,5512489;9,9703034;7,99;7,99;60,8;0;-1,75;-20246;244;0;1534;0;0;0;0;0;118,09976784683091;75,45215186594505;0;116,04129893661992
1663233894000;53,551198;9,9702592;6,61;6,61;60,8;0;-1,38;-13147;138;0;1269;0;0;0;0;0;116,96370034397987;75,23238155407881;0;115,12496581552921
1663233895000;53,5511558;9,9702213;5,4;5,4;60,8;0;-1,21;-9483;75;0;1036;0;0;0;0;0;116,14778094841583;75,20295781119836;0;114,50468538287855
1663233896000;53,551123;9,9701911;4,4;4,4;60,8;0;-1;-6395;40;0;844;0;0;0;0;0;115,58531481253223;75,35862866353517;0;114,11922982398129
1663233897000;53,5510976;9,9701681;3,22;3,22;60,8;0;-1,1800000000000002;-5868;16;0;618;0;0;0;0;0;115,31041565794294;75,76238936230499;0;114,0029270364957
1663233898000;53,5510806;9,970151;1,85;1,85;60,9;0;-1,37;-4533;3;1280,2050000000183;355;0;0;0;0;0;115,36149090483217;76,48821351198505;0;114,19090044337112
1663233899000;53,551083;9,9701516;1,78;1,78;60,9;0;-0,07000000000000006;-166;2;0;341;0;177;0;0,0000198252688172043;0,00005281451612903226;115,42111605661782;77,22511271647441;0;114,45599909034603
1663233900000;53,5510877;9,9701536;0;0;60,9;4;-1,78;-2068;0;0;0;372;372;1;0,000041666666666666665;0,000111;115,90041990459916;78,42542921985469;3,6692300978081724;115,19487447799723
1663233961000;53,5510896;9,9701476;0;0;60,9;4;0;0;0;0;0;22692;22692;61;0,0025416666666666665;0,006771;130,92940473479862;137,5014681984798;96,18685948891012;140,3097308693625
1663233962000;53,5510847;9,9701425;0,31;0,31;60,9;0;0,31;62;0;0;59;0;121;0;0,000013552867383512544;0,00003610483870967742;130,91051285986802;137,43373585392195;95,48476562402757;140,19883738152384
1663233963000;53,551068;9,9701286;2,37;2,37;61;0;2,06;3602;6;1280,2050000000183;455;0;5343,205000000018;0;0,0005984772625448048;0,0015943434274193601;133,03180675418108;136,94082630060245;94,7928470325491;141,54729473710722
1663233964000;53,5510328;9,9701001;4,46;4,46;61;0;2,09;9314;42;0;856;0;10212;0;0,0011438172043010753;0,0030471290322580647;138,806797492192;136,13296573324217;94,11088410425738;145,32528310893161
1663233965000;53,5509831;9,9700536;5,83;5,83;61;0;1,37;9198;95;0;1119;0;10412;0;0,0011662186379928314;0,003106806451612903;144,11010462806536;135,23429191672406;93,43866350351269;148,9060360838888
1663233966000;53,5509199;9,9699901;7,5;7,5;61;0;1,67;14525;202;0;1440;0;16167;0;0,0018108198924731182;0,004824024193548387;152,69142663553865;134,38386113687056;92,77597794675017;154,70686485096243
1663233967000;53,5508492;9,9699189;8,45;8,45;61;0;0,9499999999999993;9887;289;0;1622;0;11798;0;0,0013214605734767023;0,0035203709677419353;157,61392210789506;133,66237879675808;92,12262598937872;158,28797388011796
1663233968000;53,5507493;9,9698188;8,68;8,68;61;0;0,23000000000000043;2570;313;0;1666;0;4549;0;0,0005095206093189964;0,0013573629032258064;157,3270194192148;132,99657849091017;91,47841182162082;158,57993450339515
1663233969000;53,5506901;9,9697651;8,58;8,58;61;0;-0,09999999999999964;-1127;302;0;1647;0;822;0;0,00009206989247311828;0,0002452741935483871;155,32635865145258;132,33123112351342;90,84314507285956;157,27069887838348
1663233970000;53,5506253;9,9697104;8,38;8,38;61;0;-0,1999999999999993;-2214;282;0;1609;0;0;0;0;0;153,4208485642032;131,65192499976686;90,21664062408121;155,6711749382364
1663233971000;53,5505591;9,9696634;8,09;8,09;61;0;-0,2900000000000009;-3117;253;0;1553;0;0;0;0;0;151,6251156655597;130,9504886088032;89,59871842802586;154,15355987836404
1663233972000;53,5504928;9,9696213;7,9;7,9;61;0;-0,1899999999999995;-1983;236;0;1517;0;0;0;0;0;149,91166596916167;130,24356880535493;88,98920333667874;152,69669373051462
1663233973000;53,5504303;9,969585;7,42;7,42;61;0;-0,4800000000000004;-4799;195;0;1424;0;0;0;0;0;148,33722214539497;129,50936228847115;88,38792493575525;151,34777643763417
1663233974000;53,5503734;9,9695594;6,68;6,68;61;0;-0,7400000000000002;-6809;142;0;1282;0;0;0;0;0;146,94782165192737;128,7543454109217;87,79471738585084;150,1409149587787
1663233975000;53,5503267;9,9695449;5,68;5,68;61;0;-1;-8065;87;0;1090;0;0;0;0;0;145,78672821651168;128,0163675127072;87,20941926994516;149,11517922134746
1663233976000;53,5502968;9,9695363;3,89;3,89;61;0;-1,7899999999999996;-11178;28;0;746;0;0;0;0;0;145,00207187232317;127,4166089778967;86,63187344696541;148,38588707208572
1663233977000;53,5502806;9,969528;2,34;2,34;61;0;-1,5500000000000003;-6301;6;0;449;0;0;0;0;0;144,5341232753473;127,02477712057856;86,06192691113012;147,90900004258026
1663233978000;53,5502787;9,9695216;1,09;1,09;61;0;-1,2499999999999998;-2798;0;0;209;0;0;0;0;0;144,31717679600314;126,8360666070138;85,499430656809;147,63110107497604
1663233979000;53,5502814;9,9695223;0;0;61;4;-1,09;-776;0;0;0;372;372;1;0,000041666666666666665;0,000111;144,31717679600314;126,8360666070138;86,3143079284648;147,67646786448415
1663234025000;53,5502899;9,9695067;0,68;31,28;60,9;0;0,014782608695652176;301;6;-1280,2050000000183;6006;0;5032,794999999982;0;0,0005637091173835105;0,0015017210887096721;138,53983199115308;121,61918203964723;66,46201710491789;140,90629267900917
1663234026000;53,5502731;9,9695037;2,46;2,46;60,9;0;1,7799999999999998;3646;7;0;472;0;4125;0;0,0004620295698924731;0,0012308467741935483;140,2885227996556;121,24694709633224;66,46201710491789;142,1282672017269
1663234027000;53,5502381;9,9694893;4;4;60,9;0;1,54;6491;30;0;768;0;7289;0;0,0008164202508960573;0,002174943548387097;142,24913050072905;121,08820843321968;66,46201710491789;143,4419012630929
1663234028000;53,5501938;9,969471;4,92;4,92;60,9;0;0,9199999999999999;5354;57;0;944;0;6355;0;0,0007118055555555556;0,0018962500000000001;140,64741418543204;121,04819238170623;66,46201710491789;142,4667736463459
1663234029000;53,5501331;9,9694552;4,61;4,61;61;0;-0,3099999999999996;-1928;46;1280,2050000000183;885;0;283,20500000001834;0;0,000031720990143371225;0,00008450471774194094;134,72190887328924;121,09834580534775;66,46201710491789;138,29710500303312
1663234030000;53,5501144;9,9694627;2,06;2,06;61;0;-2,5500000000000003;-11099;4;0;395;0;0;0;0;0;126,85253587440766;121,36858525087395;66,46201710491789;132,8551475649301
1663234031000;53,5501038;9,9694705;1,7;1,7;61;0;-0,3600000000000001;-884;2;0;326;0;0;0;0;0;127,01484199739281;121,68286042483491;66,46201710491789;132,47284857743256
1663234032000;53,5500941;9,9694757;0,94;0,94;61;0;-0,76;-1310;0;0;180;0;0;0;0;0;128,03329839839975;122,17544220367567;66,46201710491789;133,27280710457887
1663234033000;53,5500867;9,9694793;0,63;0,63;60,9;0;-0,30999999999999994;-318;0;-1280,2050000000183;120;0;0;0;0;0;125,66367360672577;122,6869258544141;66,46201710491789;131,33641606564822
1663234034000;53,5500817;9,9694821;0,8;0,8;60,9;0;0,17000000000000004;158;0;0;153;0;311;0;0,000034834229390681;0,00009279838709677419;126,80058002564125;123,22253787481414;66,46201710491789;132,2715375590738
1663234035000;53,5500732;9,9694869;1,12;1,12;60,9;0;0,32000000000000006;400;0;0;215;0;615;0;0,00006888440860215053;0,00018350806451612902;127,9611530815052;123,72686673123476;66,46201710491789;133,22156277613936
1663234036000;53,5500596;9,969499;2,28;2,28;60,9;0;1,1599999999999997;2573;5;0;437;0;3015;0;0,00033770161290322577;0,0008996370967741935;129,4398184309661;124,05204886951438;66,46201710491789;133,88949213299645
1663234037000;53,5500402;9,9695359;4;4;60,9;0;1,7200000000000002;7048;30;0;768;0;7846;0;0,0008788082437275985;0,0023411451612903224;134,33079006966878;124,1658315709319;66,46201710491789;137,30835541679218
1663234038000;53,5500214;9,9696523;5,71;5,71;61,6;0;1,71;10834;89;8961,435000000038;1096;0;20980,435000000038;0;0,0023499591173835165;0,006260291088709688;141,23966955138962;124,1667343916019;66,46201710491789;142,07584677156498
1663234039000;53,5500295;9,9697654;7,5;7,5;61,6;0;1,79;15428;202;0;1440;0;17070;0;0,0019119623655913976;0,0050934677419354835;150,6111294125902;124,20368497428638;66,46201710491789;148,5026010176667
1663234040000;53,5500428;9,9699005;9,01;9,01;61,6;0;1,5099999999999998;16266;350;0;1730;0;18346;0;0,0020548835125448026;0,005474209677419354;160,05598472884432;124,43456000995505;66,46201710491789;155,1142555921374
1663234041000;53,5500614;9,9700456;9,4;9,4;61,6;0;0,39000000000000057;4684;398;0;1805;0;6887;0;0,0007713933691756272;0,002054991935483871;162,0313577981045;124,74407850854317;66,46201710491789;156,76378703954242
1663234042000;53,5500806;9,9701898;9,23;9,23;61,6;0;-0,16999999999999993;-2067;377;0;1772;0;82;0;0,000009184587813620072;0,000024467741935483873;161,07940148388712;125,00793839405621;66,46201710491789;155,91614891273778
1663234043000;53,5500958;9,9703532;8,88;8,88;61,8;0;-0,34999999999999964;-4136;335;2560,4099999999453;1705;0;464,4099999999453;0;0,00005201724910393652;0,0001385739516128869;160,13639544744632;125,17519927971834;66,46201710491789;155,23052165237354
1663234044000;53,5501028;9,9704657;8,36;8,36;61,8;0;-0,5200000000000014;-5850;280;0;1605;0;0;0;0;0;159,29879877133942;125,25080602248796;66,46201710491789;154,4523026339366
1663234045000;53,5501056;9,9705763;7,1;7,1;61,8;0;-1,2599999999999998;-12711;171;0;1363;0;0;0;0;0;158,69977025057693;125,18956140208132;66,46201710491789;154,01488604247814
1663234046000;53,5501052;9,9706662;5,37;5,37;61,8;0;-1,7299999999999995;-14077;74;0;1031;0;0;0;0;0;158,40194226351153;125,09018718340192;66,46201710491789;153,79710552212845
1663234047000;53,5501024;9,9707285;4,24;4,24;61,8;0;-1,13;-7086;36;0;814;0;0;0;0;0;158,16448352149533;124,96992469637614;66,46201710491789;153,6230875562239
1663234048000;53,5501023;9,9707635;3,17;3,17;61,8;0;-1,0700000000000003;-5174;15;0;608;0;0;0;0;0;158,03122558151733;124,88730360927632;66,46201710491789;153,52559682361655
1663234049000;53,5501033;9,9707968;1,23;1,23;61,8;0;-1,94;-5570;0;0;236;0;0;0;0;0;158,06503694088318;125,1030553930621;66,46201710491789;153,37799619316627
1663234050000;53,5501042;9,9707973;1,21;1,21;61,8;0;-0,020000000000000018;-32;0;0;232;0;200;0;0,000022401433691756272;0,000059677419354838715;158,35573028613112;125,31047126226431;66,46201710491789;153,59268939554727
1663234051000;53,5501052;9,9707918;0;0;61,8;4;-1,21;-956;0;0;0;372;372;1;0,000041666666666666665;0,000111;158,74570079712362;125,61002587602947;67,51696975737691;154,02132303664615
1663234069000;53,5501108;9,9707907;0;0;61,8;4;0;0;0;0;0;6696;6696;18;0,0007499999999999999;0,0019979999999999998;118,54711479764705;122,7108819377795;86,50611750163917;119,67251712536388
1663234070000;53,55011;9,970814;1,21;1,21;61,8;0;1,21;955;0;0;232;0;1187;0;0,00013295250896057346;0,00035418548387096773;118,52551675901071;121,01642306840479;86,50611750163917;118,40670391746062
1663234071000;53,5501078;9,9708555;2,89;2,89;61,8;0;1,6800000000000002;4494;11;0;554;0;5059;0;0,0005666442652329748;0,0015095403225806451;121,30515444353294;118,76121494883645;86,50611750163917;118,80837287788604
1663234072000;53,5501045;9,9709258;4,35;4,35;61,8;0;1,4599999999999995;6897;39;0;835;0;7771;0;0,0008704077060931899;0,002318766129032258;127,70806800197695;116,1529998022201;86,50611750163917;121,35570131860906
1663234073000;53,5500966;9,9710432;7,42;7,42;61,8;0;3,0700000000000003;23577;195;0;1424;0;25196;0;0,002822132616487455;0,007518161290322581;148,79637771176127;113,69399516507958;86,50611750163917;134,38792110212955
1663234074000;53,55008;9,971198;9,51;9,51;61,8;0;2,09;23087;412;0;1826;0;25325;0;0,0028365815412186375;0,007556653225806451;169,1846536124529;111,85392419162723;86,50611750163917;147,23527191257293
1663234075000;53,5500475;9,971408;11,07;11,07;61,8;0;1,5600000000000005;20948;650;0;2125;0;23723;0;0,00265714605734767;0,007078637096774193;184,25421959039346;110,49209405611953;86,50611750163917;155,51264885564882
1663234076000;53,5500183;9,9715597;11,28;11,28;61,8;0;0,20999999999999908;3062;688;0;2166;0;5916;0;0,0006626344086021505;0,0017652580645161292;183,02815319565232;108,96953687967891;86,50611750163917;154,39453553272438
1663234077000;53,5499903;9,9717176;11,01;11,01;61,8;0;-0,2699999999999996;-3927;640;0;2114;0;0;0;0;0;180,60470998588752;107,08202812565271;86,50611750163917;151,14725651724373
1663234078000;53,5499598;9,9718765;11,25;11,25;61,8;0;0,2400000000000002;3485;682;0;2160;0;6327;0;0,0007086693548387096;0,0018878951612903226;180,3300112899965;105,05141367305066;86,50611750163917;150,4526866986112
1663234079000;53,5499299;9,9720343;11,2;11,2;61,8;0;-0,05000000000000071;-733;673;0;2150;0;2090;0;0,00023409498207885304;0,0006236290322580645;180,47210027124845;102,921333566912;86,50611750163917;149,61109207081284
1663234080000;53,5499045;9,972195;11,24;11,24;61,8;0;0,040000000000000924;585;681;0;2158;0;3424;0;0,00038351254480286734;0,0010216774193548387;181,8132333859358;101,03168348837075;86,50611750163917;151,77448708975106
1663234081000;53,5498816;9,9723614;11,38;11,38;61,8;0;0,14000000000000057;2066;706;0;2185;0;4957;0;0,0005552195340501792;0,0014791048387096774;184,3192511839955;99,44990568930487;86,50611750163917;154,6337791457489
1663234082000;53,5498571;9,9725259;11,2;11,2;61,8;0;-0,1800000000000015;-2653;673;0;2150;0;170;0;0,00001904121863799283;0,00005072580645161291;185,09659850874763;97,76428322740807;86,50611750163917;153,48416500960136
1663234083000;53,549832;9,9726807;10,74;10,74;61,8;0;-0,4599999999999991;-6586;594;0;2062;0;0;0;0;0;186,02669649128106;95,84730520252236;86,50611750163917;152,59805364209262
1663234084000;53,549804;9,97283;10,57;10,57;61,8;0;-0,16999999999999993;-2364;566;0;2029;0;231;0;0,000025873655913978494;0,00006892741935483871;186,98781529641028;93,92291917162163;86,50611750163917;152,37462057848273
1663234085000;53,5497754;9,9729667;9,61;9,61;61,8;0;-0,9600000000000009;-12641;425;0;1845;0;0;0;0;0;188,3019210843602;91,5444962798017;86,50611750163917;151,440989820543
1663234086000;53,5497508;9,973091;8,66;8,66;61,8;0;-0,9499999999999993;-11326;311;0;1662;0;0;0;0;0;189,68504253259263;88,76819256286853;86,50611750163917;150,33777892776158
1663234087000;53,5497291;9,9731957;7,89;7,89;61,8;0;-0,7700000000000005;-8316;235;0;1515;0;0;0;0;0;191,674968950167;85,78716496928168;86,50611750163917;150,08000098322353
