Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663146655000;53,5602098;9,9811543;2,63;;59,1;0;;;;;;;;;;;;;;
1663146656000;53,5602274;9,9811264;3,08;3,08;59,1;0;0,4500000000000002;1676;14;0;591;0;2281;0;0,00025548835125448026;0,0006806209677419355;249,21817247725775;10,396028848212712;0;7,6873014114093
1663146657000;53,5602563;9,9810721;4,59;4,59;59,1;0;1,5099999999999998;7557;46;0;881;0;8484;0;0,000950268817204301;0,002531516129032258;300;17,991516740782863;0;34,66695933234104
1663146658000;53,5602842;9,9810138;4,63;4,63;59,1;0;0,040000000000000036;240;47;0;889;0;1176;0;0,00013172043010752687;0,0003509032258064516;300;20,06218741645825;0;36,80616590914407
1663146659000;53,5603076;9,9809497;4,65;4,65;59,1;0;0,020000000000000462;121;48;0;892;0;1061;0;0,00011883960573476702;0,0003165887096774194;259,1760386820252;21,05902776597088;0;38,42397863828432
1663146660000;53,5603355;9,9808731;5,15;5,15;59,1;0;0,5;3197;65;0;988;0;4250;0;0,00047603046594982073;0,0012681451612903225;265,01451769576784;22,924831546592582;0;48,78192760843835
1663146661000;53,5603787;9,9807679;6,24;6,24;59,1;0;1,0899999999999999;8100;116;0;1198;0;9414;0;0,0010544354838709677;0,002809016129032258;300;27,27266371261926;0;71,72546968983016
1663146662000;53,5604271;9,9806849;8,57;8,57;59,1;0;2,33;22516;301;0;1645;0;24462;0;0,002739919354838709;0,007299145161290321;300;39,411621764780705;0;128,99034151117996
1663146663000;53,5604813;9,9805784;9,69;9,69;59,1;0;1,1199999999999992;13344;436;0;1860;0;15640;0;0,0017517921146953403;0,004666774193548387;300;46,36918157576353;0;154,06679825452989
1663146664000;53,560535;9,9804554;10,79;10,79;59,1;0;1,0999999999999996;14699;602;0;2072;0;17373;0;0,0019459005376344085;0,005183879032258065;300;52,590767015952814;0;176,9691950818044
1663146665000;53,5605862;9,9803178;11,29;11,29;59,1;0;0,5;7203;690;0;2168;0;10061;0;0,0011269041218637992;0,003002072580645161;300;56,73343335629253;0;181,19773207339364
1663146666000;53,5606539;9,9801466;11,62;11,62;59;0;0,33000000000000007;4933;752;-1280,2050000000183;2231;0;6635,794999999982;0;0,000743256608422937;0,001980035604838704;300;59,484921043536254;0;180,44561758612596
1663146667000;53,5607045;9,9800341;11,07;11,07;59;0;-0,5499999999999989;-8143;650;0;2125;0;0;0;0;0;300;60,12969028884243;0;167,66779749656519
1663146668000;53,5607592;9,9799087;10,63;10,63;59;0;-0,4399999999999995;-6231;576;0;2041;0;0;0;0;0;300;59,955597365242305;0;157,1588332032246
1663146669000;53,5608196;9,9797822;10,88;10,88;59;0;0,25;3508;617;0;2089;0;6214;0;0,0006960125448028673;0,0018541774193548387;300;59,948540009188655;0;156,60591469141147
1663146670000;53,5608805;9,9796474;11,19;11,19;59;0;0,3099999999999987;4464;672;0;2148;0;7284;0;0,0008158602150537634;0,002173451612903226;300;60,12361711745412;0;157,2339999359526
1663146671000;53,5609429;9,97951;11,52;11,52;59;0;0,33000000000000007;4890;733;0;2212;0;7835;0;0,0008775761648745519;0,0023378629032258062;287,3056204804885;60,459729424952094;0;158,144616608505
1663146672000;53,5610076;9,9793672;11,76;11,76;59;0;0,2400000000000002;3645;780;0;2258;0;6683;0;0,0007485439068100358;0,0019941209677419355;272,4442155378755;60,851999464435124;0;157,31131476109243
1663146673000;53,5610727;9,9792237;12,07;12,07;59;0;0,3100000000000005;4820;843;0;2317;0;7980;0;0,0008938172043010752;0,0023811290322580643;262,14505334510545;61,346535034624175;0;157,74440350503158
1663146674000;53,5611354;9,9790809;11,57;11,57;59;0;-0,5;-7713;742;0;2221;0;0;0;0;0;243,15563449257886;61,380595596653585;0;149,93676920437358
1663146675000;53,561194;9,9789431;11,19;11,19;59;0;-0,3800000000000008;-5644;672;0;2148;0;0;0;0;0;227,32762305156422;61,19346348895234;0;143,17511067565633
1663146676000;53,5612496;9,9788089;11,14;11,14;59;0;-0,049999999999998934;-729;663;0;2139;0;2073;0;0,00023219086021505374;0,0006185564516129032;213,49053139968288;60,9947010538222;0;139,09233233983466
1663146677000;53,5613107;9,9786819;10,95;10,95;59;0;-0,19000000000000128;-2739;629;0;2102;0;0;0;0;0;201,47771287221389;60,74005034212928;0;133,50962052445928
1663146678000;53,5613693;9,9785534;10,75;10,75;59;0;-0,1999999999999993;-2832;595;0;2064;0;0;0;0;0;190,97304384803567;60,44571950207078;0;128,49114024960122
1663146679000;53,5614265;9,9784207;11,11;11,11;59;0;0,35999999999999943;5134;657;0;2133;0;7924;0;0,0008875448028673833;0,002364419354838709;189,9839562393946;60,28584756884173;0;130,60615065376058
1663146680000;53,5614831;9,9782824;11,1;11,1;59;0;-0,009999999999999787;-145;655;0;2131;0;2641;0;0,0002958109318996416;0,0007880403225806452;180,66632749474195;60,13312248746443;0;128,08676652679864
1663146681000;53,5615417;9,9781509;10,68;10,68;59;0;-0,41999999999999993;-5969;584;0;2050;0;0;0;0;0;172,60464538604194;59,88160627549179;0;123,81771002826274
1663146682000;53,5615981;9,9780248;10,29;10,29;59;0;-0,39000000000000057;-5337;522;0;1975;0;0;0;0;0;165,56299614379571;59,574578459808606;0;120,03191234869294
1663146683000;53,5616525;9,9778991;10,57;10,57;59;0;0,28000000000000114;3811;566;0;2029;0;6406;0;0,0007175179211469533;0,0019114677419354838;164,35200701618544;59,34252084608512;0;121,27542310197865
1663146684000;53,5617101;9,97777;10,62;10,62;59;0;0,049999999999998934;691;574;0;2039;0;3304;0;0,0003700716845878136;0,0009858709677419354;158,86834384701964;59,13771452281216;0;120,09871450499223
1663146685000;53,5617664;9,9776437;10,35;10,35;59;0;-0,2699999999999996;-3695;531;0;1987;0;0;0;0;0;153,06525612035645;58,90130853812001;0;116,71854713330907
1663146686000;53,5618307;9,977498;9,94;9,94;59;0;-0,41000000000000014;-5429;471;0;1908;0;0;0;0;0;147,94113896521299;58,628163338552106;0;113,70734890367638
1663146687000;53,5618742;9,9774006;9,59;9,59;59;0;-0,34999999999999964;-4461;423;0;1841;0;0;0;0;0;143,36580048951;58,34156587706103;0;110,99667425044836
1663146688000;53,5619219;9,9772898;9,62;9,62;59;0;0,02999999999999936;376;426;0;1847;0;2649;0;0,0002967069892473118;0,0007904274193548387;139,50388638004125;58,07426800182923;0;110,18885541838968
1663146689000;53,5619736;9,9771717;9,84;9,84;59;0;0,22000000000000064;2793;456;0;1889;0;5138;0;0,0005754928315412186;0,0015331129032258065;138,59205067745805;57,84120493553954;0;110,97224850942744
1663146690000;53,5620267;9,9770506;9,82;9,82;59;0;-0,019999999999999574;-257;454;0;1885;0;2082;0;0,0002331989247311828;0,000621241935483871;134,5516528885271;57,620064025297864;0;109,75936754158275
1663146691000;53,5620778;9,9769377;9,17;9,17;59;0;-0,6500000000000004;-8055;369;0;1760;0;0;0;0;0;131,06737887477752;57,371202484615715;0;107,53243716537459
1663146692000;53,5621223;9,9768383;8,04;8,04;59;0;-1,1300000000000008;-12690;249;0;1543;0;0;0;0;0;128,30194842568193;57,14337957856274;0;105,79874254180557
1663146693000;53,5621592;9,9767501;7,29;7,29;59;0;-0,7499999999999991;-7503;185;0;1399;0;0;0;0;0;125,99610864523218;56,97543961691013;0;104,37856524929956
1663146694000;53,5621945;9,9766752;6,49;6,49;59;0;-0,7999999999999998;-7194;131;0;1246;0;0;0;0;0;124,12614464298417;56,90147292692874;0;103,26293878886135
1663146695000;53,5622246;9,9766023;6,03;6,03;59;0;-0,45999999999999996;-3758;105;0;1157;0;0;0;0;0;122,50521297783041;56,88978450947031;0;102,31449177940826
1663146696000;53,5622533;9,9765349;5,55;5,55;59;0;-0,4800000000000004;-3627;81;0;1065;0;0;0;0;0;121,12230466770572;56,9505110470201;0;101,5287625546414
1663146697000;53,5622764;9,976474;4,65;4,65;59;0;-0,8999999999999995;-5990;48;0;892;0;0;0;0;0;120,13374719835585;57,179945709433625;0;101,02941836604211
1663146698000;53,5622921;9,9764253;3,39;3,39;59;0;-1,2600000000000002;-6611;18;0;650;0;0;0;0;0;119,66164091947572;57,69929792993616;0;100,91344774839712
1663146699000;53,5622994;9,9763985;1,78;1,78;59;0;-1,61;-5432;2;0;341;0;0;0;0;0;119,82540262638067;58,663186500875305;0;101,27591239269218
1663146700000;53,5622988;9,9763951;0,35;0,35;59;0;-1,4300000000000002;-1988;0;0;67;0;0;0;0;0;120,5413305096827;60,073275436440476;0;102,05156292806299
1663146701000;53,5622963;9,9763963;0;0;59;4;-0,35;-80;0;0;0;372;372;1;0,000041666666666666665;0,000111;121,37301116710863;61,605327017061725;6,056563016785055;103,13065988221555
1663146772000;53,5622922;9,9763655;0,31;22,01;59,6;0;0,0043661971830985915;62;1;7681,230000000019;4226;0;11970,230000000018;0;0,0013407515681003604;0,0035717621774193605;130,47860812689123;104,03176876735294;1,8033378674513063;110,9789070370643
1663146773000;53,562296;9,976347;1,5;1,5;59,6;0;1,19;1405;1;0;288;0;1694;0;0,0001897401433691756;0,0005054677419354838;131,55797414452212;103,66448566165131;1,7880553431508714;111,65082044867619
1663146774000;53,5623109;9,9762942;3,82;3,82;59,6;0;2,32;8053;26;0;733;0;8812;0;0,0009870071684587812;0,002629387096774193;139,16515689404366;102,86445149323882;1,773029667998343;116,35291239828595
1663146775000;53,5623261;9,9762335;4,29;4,29;59,6;0;0,4700000000000002;2487;37;0;823;0;3347;0;0,0003748879928315412;0,0009987016129032258;140,4459456802142;102,02558688432318;1,7582544207650237;117,4932753219955
1663146776000;53,5623408;9,9761635;4,76;4,76;59,6;0;0,46999999999999975;2775;51;0;914;0;3740;0;0,00041890681003584225;0,0011159677419354838;141,85388643246418;101,16639611842331;1,7437233924942384;118,76771022756706
1663146777000;53,5623543;9,9760886;5,14;5,14;59,6;0;0,3799999999999999;2454;65;0;987;0;3506;0;0,0003926971326164874;0,0010461451612903225;142,76583613346767;100,30879740795422;1,7294305778016625;119,8043915017205
1663146778000;53,5623582;9,9759896;4,88;4,88;58,6;0;-0,2599999999999998;-1700;55;-12802,050000000001;937;0;0;0;0;0;141,17407648547177;99,48138727085313;1,7153701666000232;118,74782957826213
1663146779000;53,5623469;9,9759384;4,48;4,48;58,6;0;-0,39999999999999947;-2443;43;0;860;0;0;0;0;0;139,74372195518953;98,69630586548615;1,7015365362242165;117,78397918785342
1663146780000;53,5623213;9,9758862;4,84;4,84;58,6;0;0,35999999999999943;2189;54;0;929;0;3172;0;0,00035528673835125444;0,0009464838709677419;140,4728915914342;97,90563344002375;1,6879242439344226;118,65914414653128
1663146781000;53,5622759;9,9758452;5,39;5,39;58,6;0;0,5499999999999998;3671;75;0;1035;0;4781;0;0,0005355062724014336;0,0014265887096774192;142,51459567018995;97,11848619080209;1,6745280197762131;120,36700598084661
1663146782000;53,5622227;9,9758189;5,75;5,75;58,6;0;0,3600000000000003;2616;91;0;1104;0;3811;0;0,00042685931899641574;0,0011371532258064516;143,34091028210756;96,35434175236384;1,6613427597779753;121,40954848032972
1663146783000;53,5621675;9,9758069;5,69;5,69;58,6;0;-0,05999999999999961;-448;88;0;1092;0;732;0;0,00008198924731182795;0,00021841935483870965;141,58252424488526;95,60759337563414;1,6483635194672097;120,66130393356194
1663146784000;53,5621019;9,9757971;5,46;5,46;57,4;0;-0,23000000000000043;-1674;78;-15362,460000000037;1048;0;0;0;0;0;139,9353037412052;94,87535736726758;1,6355855076883938;119,54975282035447
1663146785000;53,5620642;9,9757878;5,34;5,34;57,4;0;-0,1200000000000001;-846;73;0;1025;0;252;0;0,000028225806451612902;0,00007519354838709677;138,3609431268911;94,15953069626181;1,6230040807061756;118,62181740900617
1663146786000;53,5620265;9,9757784;4,53;4,53;57,4;0;-0,8099999999999996;-5217;44;0;869;0;0;0;0;0;137,05289990138695;93,48196467652251;1,6106147365786476;117,71030524894176
1663146787000;53,5620001;9,9757747;3,77;3,77;57,4;0;-0,7600000000000002;-4116;25;0;723;0;0;0;0;0;135,98301661851906;92,8738012200144;1,5984131097863852;116,9422081885454
1663146788000;53,5619687;9,9757697;3,59;3,59;57,4;0;-0,18000000000000016;-865;22;0;689;0;0;0;0;0;134,9796272495994;92,29272274666059;1,586394966103781;116,2151043694351
1663146789000;53,5619382;9,9757653;3;3;57,4;0;-0,5899999999999999;-2537;12;0;576;0;0;0;0;0;134,15242793239966;91,78756637015263;1,574556197700021;115,59543748474343
1663146790000;53,5619112;9,9757573;3,02;3,02;57,4;0;0,020000000000000018;78;13;0;579;0;670;0;0,0000750448028673835;0,00019991935483870967;133,40291418760236;91,28606652266073;1,5628928184577988;115,34805620665094
1663146791000;53,5618821;9,9757487;3,17;3,17;57,4;0;0,1499999999999999;605;15;0;608;0;1228;0;0,00013754480286738352;0,00036641935483870973;133,10937238811832;90,77273779935729;1,5514009594985505;115,38424013096736
1663146792000;53,5618449;9,975738;4,28;4,28;57,4;0;1,1100000000000003;5395;37;0;821;0;6253;0;0,0007003808243727597;0,001865814516129032;136,91068533431226;90,16756438313432;1,5400768649036702;117,96933010500443
1663146793000;53,5617957;9,9757231;4,54;4,54;58,6;0;0,2599999999999998;1496;44;15362,460000000037;871;0;17773,460000000036;0;0,001990754928315416;0,005303371129032268;137,0364985458653;89,55946348038253;1,5289168876217598;118,39996733418391
1663146794000;53,5617608;9,9757154;4,29;4,29;58,6;0;-0,25;-1441;37;0;823;0;0;0;0;0;135,88112921079903;88,97442361798963;1,5179174855525384;117,5749273200017
1663146795000;53,5617223;9,9757029;4,43;4,43;58,6;0;0,13999999999999968;796;41;0;850;0;1687;0;0,00018895609318996415;0,0005033790322580646;135,41886577587576;88,39210261610589;1,5070752177985915;117,63593387729227
1663146796000;53,5616823;9,9756916;4,41;4,41;58,6;0;-0,019999999999999574;-116;41;0;846;0;771;0;0,00008635752688172042;0,0002300564516129032;134,265240497085;87,82065915303598;1,4963867410766158;117,21461600911498
1663146797000;53,5616436;9,9756817;4,12;4,12;58,6;0;-0,29000000000000004;-1615;33;0;791;0;0;0;0;0;133,205096012047;87,27411604496815;1,4858488062803017;116,44112741415829
1663146798000;53,5615994;9,9756701;4,1;4,1;58,6;0;-0,020000000000000462;-108;33;0;787;0;712;0;0,00007974910394265232;0,0002124516129032258;132,16658816126184;86,73732279680428;1,4754582551874325;116,05325438561391
1663146799000;53,5615686;9,9756623;3,9;3,9;58,6;0;-0,19999999999999973;-1044;28;0;748;0;0;0;0;0;131,19365606773627;86,22151729299406;1,4652120173041865;115,33202970176501
1663146800000;53,5615347;9,9756531;4,03;4,03;58,6;0;0,13000000000000034;672;31;0;773;0;1476;0;0,0001653225806451613;0,0004404193548387097;130,78013170344926;85,70496497197375;1,4551071068400196;115,36022032026972
1663146801000;53,5614993;9,975642;3,95;3,95;58,6;0;-0,08000000000000007;-417;29;0;758;0;370;0;0,000041442652329749104;0,00011040322580645161;129,81953233898372;85,20104100603582;1,4451406198068688;114,83392528810931
1663146802000;53,5614637;9,9756301;4,03;4,03;58,6;0;0,08000000000000007;416;31;0;773;0;1220;0;0,00013664874551971325;0,00036403225806451613;129,2059070485278;84,69968729512658;1,435309731236754;114,73471263447168
1663146803000;53,5614202;9,9756156;3,99;3,99;57,5;0;-0,040000000000000036;-210;30;-14082,25500000002;766;0;0;0;0;0;128,26134674305567;84,20803363132173;1,4256116925121813;114,02542371912965
1663146804000;53,5613904;9,9756051;3,74;3,74;57,6;0;-0,25;-1261;25;1280,2050000000183;718;0;762,2050000000183;0;0,0000853724238351275;0,00022743213709677966;127,38842363272678;83,73925451105471;1,4160438288040458;113,36242806045335
1663146805000;53,5613597;9,9755945;3,32;3,32;57,7;0;-0,4200000000000004;-1935;17;1280,2050000000183;637;0;0;0;0;0;126,62342486911884;83,30891896238894;1,4066035366120189;112,76962308773872
1663146806000;53,5613345;9,9755859;2,34;2,34;58,2;0;-0,98;-3620;6;6401,025000000001;449;0;3236,0250000000005;0;0,00036245799731182796;0,0009655881048387097;126,0897358361864;82,98308210151879;1,397288281402668;112,32651225414432
1663146807000;53,5613195;9,9755812;1,17;1,17;58,4;0;-1,17;-2680;0;2560,4099999999453;224;0;104,40999999994528;0;0,000011694668458775232;0,00003115459677417722;125,82457480568759;82,81172719083041;1,3880955953408083;112,05690134995567
1663146808000;53,5613113;9,9755788;0,74;0,74;58,5;0;-0,42999999999999994;-536;0;1280,2050000000183;142;0;886,2050000000183;0;0,00009926131272401638;0,00026443213709677967;125,65744110373782;82,70252489656788;1,3790230751098225;111,85120062360447
1663146809000;53,561308;9,9755785;0;0;58,5;4;-0,74;-358;0;0;0;372;372;1;0,000041666666666666665;0,000111;125,65744110373782;82,70252489656788;2,740136759633803;111,93777251013226
1663146815000;53,5613084;9,9755868;0;0;58,6;4;0;0;0;0;0;2231;2231;6;0,00024988799283154117;0,0006657016129032257;125,65744110373782;82,70252489656788;10,545981656806342;112,45355258195377
1663146816000;53,5612999;9,9755848;1,46;1,46;58,6;0;1,46;1390;1;0;280;0;1671;0;0,00018716397849462366;0,0004986048387096775;126,46902329338326;82,49245769723207;10,480478665149159;112,96555078279388
1663146817000;53,5612789;9,9755783;2,95;2,95;58,6;0;1,4900000000000002;4287;12;0;566;0;4865;0;0,0005449148745519713;0,0014516532258064517;129,30041494932448;82,10917207305;10,415784352401324;114,82037567953107
1663146818000;53,5612414;9,9755659;3,34;3,34;58,2;0;0,3899999999999997;1600;17;-5120,8199999999815;641;0;0;0;0;0;129,8332222009747;81,69594345606419;10,35188383490193;114,23248160723678
1663146819000;53,561193;9,9755541;5,87;5,87;58,2;0;2,5300000000000002;15204;97;0;1127;0;16428;0;0,00184005376344086;0,004901903225806451;140,69445681515;81,24406030547188;10,288762592006186;121,21402691652101
1663146820000;53,5611105;9,9755299;7,69;7,69;58,2;0;1,8200000000000003;16103;218;0;1476;0;17797;0;0,0019933915770609318;0,005310395161290322;151,5700076101797;81,02552213975336;10,226406455084938;128,44229257665467
1663146821000;53,5610267;9,9755046;8,5;8,5;58,2;0;0,8099999999999996;8556;294;0;1632;0;10482;0;0,0011740591397849463;0,003127693548387097;156,04973534755652;80,9987634897821;10,164801596921775;131,9326291805971
1663146822000;53,5609401;9,9754793;8,94;8,94;58,2;0;0,4399999999999995;5007;342;0;1716;0;7065;0;0,0007913306451612902;0,002108104838709677;157,55559341848388;81,09761624023048;10,103934521491105;133,67732149846307
1663146823000;53,5608445;9,9754482;8,48;8,48;58,3;0;-0,4599999999999991;-5229;292;1280,2049999999272;1628;0;0;0;0;0;155,344762527764;81,06545621082351;10,043792054101278;132,19763191749553
1663146824000;53,5607716;9,9754284;8,92;8,92;58,3;0;0,4399999999999995;4995;340;0;1712;0;7047;0;0,0007893145161290323;0,0021027338709677422;156,81466419911436;81,15462538844059;9,98436133188766;133,8949794902123
1663146825000;53,5606902;9,9754099;9,26;9,26;58,3;0;0,33999999999999986;4033;380;0;1778;0;6191;0;0,0006934363799283153;0,0018473145161290322;157,4482583290287;81,34525356062753;9,925629794641264;135,11365430539686
1663146826000;53,5606011;9,9753898;9,9;9,9;58,3;0;0,6400000000000006;8001;465;0;1901;0;10367;0;0,0011611783154121863;0,0030933790322580645;160,77590018059996;81,75324949007576;9,867585175959151;138,06163231016748
1663146827000;53,5605098;9,9753819;9,73;9,73;58,3;0;-0,16999999999999993;-2178;441;0;1868;0;131;0;0,000014672939068100356;0,00003908870967741935;158,33974995049869;82,08656744653466;9,810215494703574;136,46263218761018
1663146828000;53,5604234;9,975386;9,48;9,48;58,3;0;-0,25;-3134;408;0;1820;0;0;0;0;0;156,0361668352924;82,32517935114019;9,75350904675731;134,88389396315648
1663146829000;53,5603379;9,9753949;9,29;9,29;58,3;0;-0,19000000000000128;-2328;384;0;1783;0;0;0;0;0;153,84286367767658;82,49743209930901;9,697454397063304;133,36935075384952
1663146830000;53,5602498;9,975403;9,7;9,7;58,3;0;0,41000000000000014;5080;437;0;1862;0;7379;0;0,0008265008960573477;0,0022017983870967744;155,08594385206288;82,7956113710475;9,642040371937226;134,96355595909876
1663146831000;53,5601618;9,9754086;9,63;9,63;58,3;0;-0,06999999999999851;-883;428;0;1849;0;1394;0;0,0001561379928315412;0,00041595161290322575;152,89042809395494;83,06223448497275;9,587256051642129;134,01770879266
1663146832000;53,5600681;9,9754144;10,48;10,48;58,3;0;0,8499999999999996;11153;552;0;2012;0;13717;0;0,0015364023297491038;0,0040929758064516125;157,96351762718677;83,62816460976825;9,533090763214771;138,08331244568097
1663146833000;53,5599699;9,9754163;10,86;10,86;58,3;0;0,379999999999999;5291;614;0;2085;0;7990;0;0,000894937275985663;0,0023841129032258065;158,97123455158754;84,33433843206147;9,47953407353379;139,6468468855625
1663146834000;53,5598697;9,9754153;10,98;10,98;58,3;0;0,120000000000001;1710;634;0;2108;0;4452;0;0,0004986559139784946;0,0013284193548387098;157,62034868849491;85,07068873659716;9,426575782620194;139,72186668603808
1663146835000;53,5597672;9,9754144;11,29;11,29;58,3;0;0,3099999999999987;4504;690;0;2168;0;7362;0;0,0008245967741935483;0,0021967258064516126;158,01106863453774;85,9225374083284;9,374205917161191;140,912821143752
1663146836000;53,5596621;9,9754159;11,63;11,63;58,3;0;0,34000000000000163;5084;754;0;2233;0;8071;0;0,0009040098566308243;0,0024082822580645162;158,67769491432796;86,90773560614498;9,3224147242487;142,3041515938539
1663146837000;53,5595571;9,9754185;11,58;11,58;58,3;0;-0,05000000000000071;-758;744;0;2223;0;2209;0;0,000247423835125448;0,0006591370967741935;156,21806957351475;87,83850769756842;9,271192665324255;141,3837253601209
1663146838000;53,5594511;9,9754227;11,71;11,71;58,3;0;0,13000000000000078;1975;770;0;2248;0;4993;0;0,0005592517921146952;0,0014898467741935482;154,9991987645244;88,8020452025141;9,220530410322485;141,5388825840336
1663146839000;53,5593471;9,9754257;11,46;11,46;58,3;0;-0,25;-3780;721;0;2200;0;0;0;0;0;152,69301643218023;89,62219686687324;9,170418832005515;139,8272840635672
1663146840000;53,5592441;9,975431;11,33;11,33;58,3;0;-0,13000000000000078;-1934;697;0;2175;0;938;0;0,0001050627240143369;0,0002798870967741935;150,47947956210422;90,36233334418186;9,12084900048116;138,52708834964002
1663146841000;53,5591427;9,9754353;11,15;11,15;58,3;0;-0,17999999999999972;-2641;664;0;2141;0;164;0;0,000018369175627240144;0,000048935483870967746;148,36288434176203;91,00768278968307;9,071812177897929;136,99332111851905
1663146842000;53,5590469;9,9754392;10,57;10,57;58,3;0;-0,5800000000000001;-8220;566;0;2029;0;0;0;0;0;146,4106439181334;91,42125941208111;9,02329981331024;135,51036985660954
1663146843000;53,5589378;9,9754439;10,37;10,37;57,7;0;-0,20000000000000107;-2733;534;-7681,229999999927;1991;0;0;0;0;0;144,54463472814868;91,75807385127817;8,975303537707525;134,084027564668
1663146844000;53,5588604;9,975452;9,99;9,99;57,7;0;-0,379999999999999;-5049;478;0;1918;0;0;0;0;0;142,7914404916689;91,97168676665186;8,927815159201135;132,735612400777
1663146845000;53,5587756;9,9754651;10,32;10,32;57,7;0;0,33000000000000007;4373;527;0;1981;0;6881;0;0,0007707213261648744;0,0020532016129032257;143,42526474144253;92,27787358891038;8,880826658363235;133,8234604448072
1663146846000;53,5586914;9,9754918;10,17;10,17;57,7;0;-0,15000000000000036;-2006;504;0;1952;0;450;0;0,000050403225806451606;0,0001342741935483871;141,697290445516;92,53170592709702;8,834330183712119;132,6412781001317
1663146847000;53,5586018;9,9755363;10,21;10,21;57,7;0;0,040000000000000924;531;510;0;1960;0;3001;0;0,00033613351254480284;0,0008954596774193548;140,2889483589913;92,7911341293667;8,788318047338617;132,3677833400018
1663146848000;53,5585173;9,9755988;10,26;10,26;57,7;0;0,049999999999998934;667;518;0;1970;0;3155;0;0,0003533826164874552;0,0009414112903225806;138,97780751995126;93,05897081677213;8,742782720668469;132,1469604481446
1663146849000;53,5584399;9,9756747;10,08;10,08;57,7;0;-0,17999999999999972;-2389;491;0;1935;0;37;0;0,000004144265232974911;0,000011040322580645163;137,3761974456371;93,26975136024947;8,697716830355747;130,88469953987718
1663146850000;53,5583678;9,9757588;9,72;9,72;57,7;0;-0,35999999999999943;-4652;440;0;1866;0;0;0;0;0;135,86636406801207;93,38260142667548;8,653113154302638;129,6757751776505
1663146851000;53,5582997;9,9758462;9,84;9,84;57,7;0;0,11999999999999922;1531;456;0;1889;0;3876;0;0,00043413978494623653;0,0011565483870967742;135,1554350297101;93,52265043181144;8,608964617801096;129,77712787402288
1663146852000;53,5582241;9,9759377;10,18;10,18;57,7;0;0,33999999999999986;4441;505;0;1954;0;6900;0;0,0007728494623655913;0,002058870967741935;135,8824500300054;93,74829407413598;8,565264289791951;130,84431585368623
1663146853000;53,5581467;9,9760245;9,91;9,91;57,7;0;-0,2699999999999996;-3540;466;0;1903;0;0;0;0;0;134,40968299863013;93,8986977753527;8,522005379237447;129,64756878253652
1663146854000;53,5580738;9,9760988;9,51;9,51;57,7;0;-0,40000000000000036;-5069;412;0;1826;0;0;0;0;0;133,0260710254346;93,9523654239705;8,479181231603087;128,51617960088387
1663146855000;53,5580057;9,9761596;8,51;8,51;57,7;0;-1;-11759;295;0;1634;0;0;0;0;0;131,81187907560198;93,81921319714814;8,436785325445072;127,51301426604842
1663146856000;53,557946;9,9762101;7,35;7,35;57,7;0;-1,1600000000000001;-12005;190;0;1411;0;0;0;0;0;130,78089332354742;93,54845426767217;8,436785325445072;126,72121787038205
1663146857000;53,5578992;9,9762558;5,89;5,89;57,7;0;-1,46;-12614;98;0;1131;0;0;0;0;0;129,57657052435258;93,47316476704066;8,436785325445072;125,68769674214988
1663146858000;53,5578636;9,9762932;4,71;4,71;57,7;0;-1,1799999999999997;-8162;50;0;904;0;0;0;0;0;125,88967955852846;93,47031549734739;8,436785325445072;122,94765555861898
1663146859000;53,5578349;9,9763222;3,96;3,96;57,7;0;-0,75;-4243;29;0;760;0;0;0;0;0;125,86226195029542;93,49357425290611;8,436785325445072;122,63941587997273
1663146860000;53,5578152;9,9763447;2,54;2,54;57,7;0;-1,42;-6023;7;0;487;0;0;0;0;0;126,08583454857387;93,60534124523882;8,436785325445072;122,51568247879574
1663146861000;53,557804;9,9763607;1,49;1,49;57,7;0;-1,05;-2762;1;0;286;0;0;0;0;0;125,01520483562207;93,81526917968858;8,436785325445072;121,52222495046878
1663146862000;53,5577899;9,9763781;1,54;1,54;59,4;4;0,050000000000000044;98;1;0;295;0;394;0;0,000044130824372759854;0,00011756451612903226;121,71301291029002;94,0070755585173;8,436785325445072;119,08114719892104
1663146863000;53,5577794;9,9763925;1,77;1,77;59,4;0;0,22999999999999998;496;2;0;339;0;837;0;0,00009374999999999999;0,00024974999999999997;111,70602369102775;93,95900364744726;8,436785325445072;112,06382791682339
1663146864000;53,557759;9,9764132;2,86;2,86;59,4;0;1,0899999999999999;3292;11;0;549;0;3852;0;0,0004314516129032258;0,0011493870967741937;107,52361511554022;93,59977663639668;8,436785325445072;108,85277580906303
1663146865000;53,5577279;9,9764487;4,5;4,5;59,4;0;1,6400000000000001;7875;43;0;864;0;8782;0;0,0009836469534050178;0,0026204354838709676;104,83847122111725;92,84496206829547;8,436785325445072;106,6091676261991
1663146866000;53,5576832;9,9764992;5,72;5,72;59,4;0;1,2199999999999998;8135;89;0;1098;0;9322;0;0,0010441308243727596;0,0027815645161290317;105,95398902194759;91,90145462489583;8,436785325445072;106,88066954199607
1663146867000;53,5576341;9,9765455;5,75;5,75;59,4;0;0,03000000000000025;224;91;0;1104;0;1419;0;0,00015893817204301074;0,00042341129032258065;104,25005712777413;90,822022040517;8,436785325445072;105,26270307320243
