Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663157192000;53,5602211;9,9808502;2,49;;53,6;0;;;;;;;;;;;;;;
1663157193000;53,5602587;9,9808177;4,08;4,08;53,6;0;1,5899999999999999;6816;32;0;783;0;7631;0;0,0008547267025089604;0,0022769919354838704;300;18,24258460732081;0;25,49163408159702
1663157194000;53,5603073;9,9807564;4,86;4,86;59,1;4;0,7800000000000002;4550;55;0;933;0;5538;0;0,0006202956989247311;0,0016524677419354839;300;22,396875608944686;0;41,95870264029996
1663157195000;53,5603336;9,9806988;6,09;6,09;59,1;0;1,2299999999999995;8788;108;0;1169;0;10065;0;0,0011273521505376343;0,003003266129032258;300;29,79057973804252;0;70,07071133175758
1663157196000;53,5603787;9,9806321;7,04;7,04;59,1;0;0,9500000000000002;8138;167;0;1351;0;9656;0;0,0010815412186379926;0,0028812258064516124;300;35,33845727827748;0;92,53792288375391
1663157197000;53,5604399;9,9805565;7,08;7,08;59,1;0;0,040000000000000036;368;170;0;1359;0;1897;0;0,0002124775985663082;0,0005660403225806451;300;36,69798681008592;0;91,38253148802804
1663157198000;53,5604918;9,9804825;6,47;6,47;59,1;0;-0,6100000000000003;-5394;129;0;1242;0;0;0;0;0;300;36,52172085076315;0;86,58925395761106
1663157199000;53,5605456;9,9803712;6,9;6,9;59,3;0;0,4300000000000006;3751;157;2560,4099999999453;1325;0;7793,409999999945;0;0,000872917786738345;0,0023254529838709513;300;36,81501827995777;0;94,2104552849256
1663157200000;53,5605792;9,9802938;7,52;7,52;59,3;0;0,6199999999999992;5833;203;0;1444;0;7480;0;0,0008378136200716845;0,0022319354838709676;300;37,686636881374966;0;105,38963622156554
1663157201000;53,5606216;9,9802044;7,89;7,89;59,3;0;0,3700000000000001;3720;235;0;1515;0;5470;0;0,000612679211469534;0,0016321774193548387;300;38,67454405069155;0;110,77310269670173
1663157202000;53,5606689;9,9801085;8,36;8,36;59,3;0;0,46999999999999975;4983;280;0;1605;0;6868;0;0,0007692652329749103;0,002049322580645161;300;39,875225558983885;0;117,8495356667695
1663157203000;53,5607158;9,9800044;8,77;8,77;59,3;0;0,41000000000000014;4582;323;0;1684;0;6589;0;0,0007380152329749103;0,001966072580645161;295,09094829006756;41,16311098967794;0;123,2046771808928
1663157204000;53,5607664;9,9798969;9,18;9,18;59,3;0;0,41000000000000014;4802;371;0;1762;0;6935;0;0,0007767697132616487;0,0020693145161290324;285,2564670898959;42,5199711148546;0;128,15298181323325
1663157205000;53,560817;9,9797856;9,44;9,44;59,3;0;0,2599999999999998;3158;403;0;1812;0;5373;0;0,0006018145161290322;0,0016032338709677419;268,96257261980685;43,7619742745869;0;129,7354223604441
1663157206000;53,5608671;9,9796651;9,99;9,99;59,3;0;0,5500000000000007;6972;478;0;1918;0;9368;0;0,0010492831541218635;0,0027952903225806447;269,4768017930241;45,23915749209817;0;136,8039298440168
1663157207000;53,5609201;9,9795382;10,1;10,1;59,3;0;0,10999999999999943;1441;494;0;1939;0;3874;0;0,0004339157706093189;0,0011559516129032257;249,178449112714;46,43633561853131;0;134,9378112818077
1663157208000;53,5609719;9,9794145;9,79;9,79;59,3;0;-0,3100000000000005;-4024;450;0;1879;0;0;0;0;0;228,24708928397453;47,08569935013933;0;128,1727787466305
1663157209000;53,5610242;9,9792959;9,83;9,83;59,3;0;0,040000000000000924;512;455;0;1887;0;2854;0;0,000319668458781362;0,0008515967741935485;212,0333335119676;47,617902973463686;0;125,81344435466278
1663157210000;53,5610749;9,9791762;9,73;9,73;59,3;0;-0,09999999999999964;-1277;441;0;1868;0;1032;0;0,00011559139784946236;0,0003079354838709677;196,84787736312558;47,97822850582128;0;121,45204417429636
1663157211000;53,5611277;9,9790553;10,3;10,3;59,3;0;0,5700000000000003;7449;524;0;1977;0;9950;0;0,0011144713261648745;0,002968951612903226;202,69251894047665;48,61134250440849;0;127,82945384148796
1663157212000;53,561185;9,9789276;10,77;10,77;59,3;0;0,46999999999999886;6461;599;0;2068;0;9128;0;0,0010224014336917562;0,0027236774193548385;204,5051532838301;49,43232624038372;0;132,3222157946455
1663157213000;53,5612439;9,9787951;10,9;10,9;59,3;0;0,13000000000000078;1838;621;0;2093;0;4552;0;0,0005098566308243727;0,001358258064516129;195,1329960729797;50,18547078555382;0;131,282788450412
1663157214000;53,5613028;9,9786629;10,48;10,48;59,3;0;-0,41999999999999993;-5860;552;0;2012;0;0;0;0;0;183,45681074433062;50,57123477088561;0;125,84153255807318
1663157215000;53,5613571;9,9785378;10,03;10,03;59,3;0;-0,45000000000000107;-6023;483;0;1926;0;0;0;0;0;173,60890652291314;50,69949972974176;0;121,1200786927531
1663157216000;53,5614101;9,9784185;9,68;9,68;59,3;0;-0,34999999999999964;-4502;435;0;1858;0;0;0;0;0;165,12709715960062;50,68929005105382;0;116,9496472982635
1663157217000;53,5614616;9,9783049;9,25;9,25;59,3;0;-0,4299999999999997;-5312;379;0;1776;0;0;0;0;0;157,84695141662678;50,567279754513535;0;113,30163932585707
1663157218000;53,56151;9,978204;8,76;8,76;59;0;-0,4900000000000002;-5759;322;-3840,6149999999634;1682;0;0;0;0;0;151,6164268171278;50,368452576600376;0;110,1321181967428
1663157219000;53,5615603;9,9781053;8,3;8,3;59;0;-0,4599999999999991;-5121;274;0;1593;0;0;0;0;0;146,23939710662475;50,135129233121454;0;107,3651232248382
1663157220000;53,5616035;9,9780045;8,18;8,18;59;0;-0,120000000000001;-1291;262;0;1570;0;541;0;0,00006059587813620071;0,0001614274193548387;141,32331253110894;49,90867180940558;0;105,26460726371896
1663157221000;53,5616466;9,9779099;7,9;7,9;59;0;-0,27999999999999936;-2938;236;0;1517;0;0;0;0;0;136,92954569465005;49,68268574884293;0;102,9237318504042
1663157222000;53,5616859;9,9778222;7,45;7,45;59;0;-0,4500000000000002;-4508;198;0;1430;0;0;0;0;0;133,1072956617136;49,464605486010086;0;100,8793989661205
1663157223000;53,5617206;9,97774;6,82;6,82;59;0;-0,6299999999999999;-5867;152;0;1309;0;0;0;0;0;129,89923009176493;49,282345507062644;0;99,17353537665721
1663157224000;53,5617552;9,9776603;6,66;6,66;59;0;-0,16000000000000014;-1408;141;0;1278;0;11;0;0,000001232078853046595;0,000003282258064516129;126,93800952422262;49,1147886513146;0;97,59193575206979
1663157225000;53,5617907;9,9775917;6,97;6,97;59;0;0,3099999999999996;2757;162;0;1338;0;4257;0;0,0004768145161290322;0,0012702338709677419;127,98241812980842;48,92835318308929;0;99,32812720828461
1663157226000;53,5618299;9,9775078;7,49;7,49;59;0;0,5200000000000005;4906;201;0;1438;0;6545;0;0,0007330869175627239;0,0019529435483870965;131,75061774047865;48,735340432940475;0;102,58995323380094
1663157227000;53,561871;9,9774175;7,73;7,73;59;0;0,2400000000000002;2383;221;0;1484;0;4088;0;0,00045788530465949815;0,001219806451612903;131,65914683068786;48,554423476600576;0;103,74316282640169
1663157228000;53,5619117;9,9773261;7,58;7,58;59;0;-0,15000000000000036;-1499;208;0;1455;0;164;0;0,000018369175627240144;0,000048935483870967746;128,4098939801712;48,37806346785222;0;101,94912309598703
1663157229000;53,5619517;9,9772374;7,1;7,1;59;0;-0,4800000000000004;-4598;171;0;1363;0;0;0;0;0;125,57363326798341;48,21056455121002;0;100,2752947440208
1663157230000;53,5619885;9,9771556;6,61;6,61;59;0;-0,4899999999999993;-4384;138;0;1269;0;0;0;0;0;123,11035413845045;48,068652218776066;0;98,82698476146803
1663157231000;53,5620211;9,9770798;6,07;6,07;59;0;-0,54;-4468;107;0;1165;0;0;0;0;0;121,00680720755624;47,971536938902574;0;97,60284046176706
1663157232000;53,5620504;9,9770122;5,51;5,51;59;0;-0,5600000000000005;-4232;80;0;1058;0;0;0;0;0;119,23857793827983;47,93734096219748;0;96,59313763537433
1663157233000;53,5620766;9,9769533;4,99;4,99;59;0;-0,5199999999999996;-3563;59;0;958;0;0;0;0;0;117,7582790846963;47,97420593801338;0;95,76755275918283
1663157234000;53,5621019;9,976902;4,53;4,53;59;0;-0,45999999999999996;-2858;44;0;869;0;0;0;0;0;116,51661318593281;48,08206763107902;0;95,0956249890141
1663157235000;53,5621272;9,9768505;4,24;4,24;59;0;-0,29000000000000004;-1660;36;0;814;0;0;0;0;0;115,42201228833892;48,23404939050903;0;94,51444519002902
1663157236000;53,5621482;9,9768023;4,01;4,01;59;0;-0,23000000000000043;-1239;30;0;770;0;0;0;0;0;114,43964984294992;48,42022098571658;0;94,00109926028607
1663157237000;53,5621674;9,97676;3,76;3,76;59;0;-0,25;-1268;25;0;722;0;0;0;0;0;113,5718872676702;48,6467191485235;0;93,55850834434233
1663157238000;53,5621875;9,9767198;3,55;3,55;59;0;-0,20999999999999996;-1002;21;0;681;0;0;0;0;0;112,79620652278068;48,90654738960095;0;93,17223926899106
1663157239000;53,5622112;9,9766674;3,42;3,42;59,6;0;-0,1299999999999999;-592;19;7681,230000000019;656;0;7764,230000000019;0;0,000869649417562726;0,0023167460483871022;112,07563123390413;49,1826084878681;0;92,87312981154234
1663157240000;53,5622273;9,9766322;3,28;3,28;59,6;0;-0,14000000000000012;-613;16;0;629;0;32;0;0,000003584229390681003;0,000009548387096774193;111,41201102977325;49,478089925675796;0;92,5700051010156
1663157241000;53,5622443;9,9765956;3,17;3,17;59,6;0;-0,10999999999999988;-463;15;0;608;0;160;0;0,000017921146953405018;0,00004774193548387097;110,79130796333476;49,786678847059854;0;92,37683693765436
1663157242000;53,5622599;9,9765538;3,1;3,1;59,6;0;-0,06999999999999984;-287;14;0;595;0;322;0;0,0000360663082437276;0,00009608064516129032;110,19651642748462;50,09935649126125;0;92,30458022333457
1663157243000;53,5622741;9,9765131;3,06;3,06;59,6;0;-0,040000000000000036;-161;13;0;587;0;439;0;0,00004917114695340501;0,00013099193548387096;109,61550665514379;50,40931678581497;0;92,31303751550925
1663157244000;53,5622908;9,9764659;2,93;2,93;59,6;0;-0,1299999999999999;-509;12;0;562;0;65;0;0,000007280465949820788;0,00001939516129032258;109,08214176571384;50,7391396547215;0;92,09433086331809
1663157245000;53,5623009;9,9764367;2,4;2,4;59,6;0;-0,5300000000000002;-1844;6;0;460;0;0;0;0;0;108,74393143252586;51,19347098801653;0;91,96637934160844
1663157246000;53,5623091;9,9764132;1,85;1,85;59,6;0;-0,5499999999999998;-1526;3;0;355;0;0;0;0;0;108,60204426650472;51,78797220706507;0;91,9763244077202
1663157247000;53,5623136;9,9763994;1,05;1,05;59,6;0;-0,8;-1514;0;0;201;0;0;0;0;0;108,74408145031028;52,60845728645176;0;92,18643187550039
1663157248000;53,562313;9,9763951;1;1;59,6;0;-0,050000000000000044;-67;0;0;192;0;125;0;0,000014000896057347669;0,00003729838709677419;108,8912429712551;53,440040699027335;0;92,47875189582545
1663157249000;53,5623092;9,9763925;0;0;59,8;4;-1;-653;0;0;0;372;372;1;0,000041666666666666665;0,000111;109,39251437497369;54,58533554000282;4,102547900104203;93,18987543359195
1663157263000;53,5623026;9,9763799;0;0;59,6;4;0;0;0;0;0;5208;5208;14;0,0005833333333333333;0,0015539999999999998;115,25095768148933;71,50770017039834;44,63402787510446;101,80087762950959
1663157264000;53,5623059;9,9763705;1,03;1,03;59,6;0;1,03;692;0;0;197;0;889;0;0,00009957437275985661;0,00026526612903225803;115,8633120818076;71,61661087788454;43,956360519125596;102,20566766695991
1663157265000;53,5623125;9,9763474;2,24;2,24;59,6;0;1,2100000000000002;2581;5;0;430;0;3016;0;0,00033781362007168455;0,0008999354838709676;118,30840242839862;71,22404305610922;43,35421859420606;103,79729692774598
1663157266000;53,5623241;9,9763029;3,8;3,8;59,6;0;1,5599999999999996;6148;26;0;729;0;6903;0;0,0007731854838709677;0,002059766129032258;124,51513826201442;70,67160435701507;42,76835077536544;107,81159390721807
1663157267000;53,5623393;9,9762365;4,76;4,76;59,6;0;0,96;5361;51;0;914;0;6326;0;0,0007085573476702508;0,0018875967741935483;129,34153417738398;70,10605694488434;42,19810609836057;111,1598492614957
1663157268000;53,5623542;9,976161;4,9;4,9;59,6;0;0,14000000000000057;882;56;0;940;0;1878;0;0,00021034946236559137;0,0005603709677419354;128,75348537259723;69,55685522028297;41,64286786022425;111,33531610474338
1663157269000;53,5623654;9,9760711;4,67;4,67;59,8;0;-0,23000000000000043;-1437;48;2560,4099999999453;896;0;2067,4099999999453;0;0,00023156474014336301;0,0006168884677419191;127,23280055547525;69,01761135389108;41,10205139450705;110,26699665112021
1663157270000;53,5623621;9,97601;4,29;4,29;59,8;0;-0,3799999999999999;-2222;37;0;823;0;0;0;0;0;125,86717040615206;68,4933017950862;40,57510201765439;109,29242258839919
1663157271000;53,5623468;9,9759496;4,47;4,47;59,8;0;0,17999999999999972;1028;42;0;858;0;1928;0;0,00021594982078853043;0,0005752903225806451;125,64056318512735;67,97794583604801;40,06149313135497;109,59897998875317
1663157272000;53,5623173;9,9758968;4,75;4,75;59,8;0;0,28000000000000025;1684;51;0;912;0;2647;0;0,00029648297491039426;0,0007898306451612903;126,06709702816971;67,47552010493197;39,560724467213035;110,32439723236244
1663157273000;53,562266;9,9758583;5,39;5,39;59,8;0;0,6399999999999997;4234;75;0;1035;0;5344;0;0,0005985663082437276;0,0015945806451612902;129,10631928205535;67,01187756408781;39,07232046144497;112,69295865261373
1663157274000;53,562204;9,975828;5,39;5,39;57,4;4;0;0;75;0;1035;0;1110;0;0,0001243279569892473;0,0003312096774193548;127,44823102422154;66,56014397173013;38,59582874850052;112,24763377695083
1663157275000;53,5621625;9,975819;5,12;5,12;57,4;0;-0,2699999999999996;-1852;64;0;983;0;0;0;0;0;125,91216797757947;66,10417451917709;38,13081876357883;111,14599368021156
1663157276000;53,5621179;9,9758095;4,98;4,98;57,4;0;-0,13999999999999968;-923;59;0;956;0;92;0;0,000010304659498207884;0,000027451612903225804;124,45321686999588;65,65314007310182;37,67688044496479;110,15004136809199
1663157277000;53,5620758;9,975798;4,56;4,56;57,4;0;-0,4200000000000008;-2615;45;0;875;0;0;0;0;0;123,14665149891914;65,20311694235481;37,23362302796521;109,19064443449089
1663157278000;53,562037;9,9757863;4,38;4,38;57,4;0;-0,17999999999999972;-1051;40;0;841;0;0;0;0;0;121,91723401307304;64,76206034255063;36,80067392298887;108,28120013965025
1663157279000;53,5619961;9,9757781;3,86;3,86;58,8;4;-0,52;-2796;27;0;741;0;0;0;0;0;120,85394626755131;64,33965052492303;36,37767767100049;107,47734864917788
1663157280000;53,5619718;9,9757735;3,44;3,44;58,8;0;-0,41999999999999993;-2001;19;0;660;0;0;0;0;0;119,92186193429934;63,94344969048055;35,96429497019366;106,75750583445787
1663157281000;53,5619422;9,9757732;3,39;3,39;58,8;0;-0,04999999999999982;-223;18;0;650;0;445;0;0,0000498431899641577;0,00013278225806451612;119,0172846748154;63,55611832477487;35,560201768281374;106,33137882597599
1663157282000;53,561911;9,9757706;3,4;3,4;58,8;0;0,009999999999999787;44;18;0;652;0;714;0;0,00007997311827956988;0,00021304838709677417;118,16843775435026;63,17402823800198;35,165088415300474;106,07295927100004
1663157283000;53,5618678;9,975761;3,32;3,32;58,8;0;-0,08000000000000007;-351;17;0;637;0;303;0;0,00003393817204301075;0,00009041129032258065;117,30835266349122;62,802137027291806;34,778658872275194;105,58195553801349
1663157284000;53,5618448;9,9757546;3,39;3,39;58,8;0;0,07000000000000028;306;18;0;650;0;974;0;0,00010909498207885304;0,00029062903225806453;116,74830026787879;62,431746818932766;34,40062997148959;105,49015499763739
1663157285000;53,5618163;9,9757488;3,61;3,61;58,8;0;0,21999999999999975;1004;22;0;693;0;1719;0;0,00019254032258064516;0,0005129274193548388;116,83161411316661;62,056435671485346;34,03073072448433;105,81148887683575
1663157286000;53,5617844;9,9757427;3,75;3,75;58,8;0;0,14000000000000012;672;25;0;720;0;1417;0;0,00015871415770609318;0,00042281451612903223;116,55252254741445;61,68178493552665;33,668701674223854;105,92499132884477
1663157287000;53,5617514;9,9757364;3,68;3,68;58,8;0;-0,06999999999999984;-340;23;0;706;0;389;0;0,000043570788530465944;0,00011607258064516127;115,6410465013969;61,31547540606127;33,31429428817939;105,43929621203516
1663157288000;53,5616986;9,9757227;3,38;3,38;58,8;0;-0,30000000000000027;-1382;18;0;649;0;0;0;0;0;114,81634613812078;60,96748683575194;32,967270389344186;104,77994791797171
1663157289000;53,5616797;9,9757197;3,45;3,45;58,8;0;0,07000000000000028;311;19;0;662;0;992;0;0,0001111111111111111;0,000296;114,285779303422;60,6211594184499;32,62740162244374;104,69747413011123
1663157290000;53,5616543;9,9757158;3,37;3,37;58,8;0;-0,08000000000000007;-357;18;0;647;0;308;0;0,00003449820788530466;0,00009190322580645163;113,48468298657085;60,28347056742652;32,29446895282697;104,23178733378077
1663157291000;53,5616288;9,9757119;3,11;3,11;58,8;0;-0,26000000000000023;-1100;14;0;597;0;0;0;0;0;112,75529271607354;59,964141314254285;31,968262195727704;103,63456372526356
1663157292000;53,561605;9,9757067;2,93;2,93;58,8;0;-0,17999999999999972;-710;12;0;562;0;0;0;0;0;112,0766439462083;59,65985577830995;31,648579573770423;103,0713934543499
1663157293000;53,5615806;9,9757011;3,08;3,08;58,8;0;0,1499999999999999;588;14;0;591;0;1193;0;0,00013362455197132614;0,00035597580645161287;111,92173339232572;59,350127906859825;31,335227300762796;103,17399319909222
1663157294000;53,5615449;9,9756935;2,91;2,91;58,6;0;-0,16999999999999993;-665;11;-2560,4099999999453;558;0;0;0;0;0;111,26083192282152;59,05446268627582;31,02801918997101;102,62297442639372
1663157295000;53,561525;9,9756878;2,84;2,84;58,6;0;-0,07000000000000028;-263;10;0;545;0;292;0;0,000032706093189964156;0,00008712903225806452;110,62331121694467;58,76672977977901;30,726776285214;102,25336086385333
1663157296000;53,5615037;9,9756818;2,85;2,85;58,6;0;0,010000000000000231;37;11;0;547;0;595;0;0,0000666442652329749;0,00017754032258064515;110,02494698894571;58,48163611876658;30,43132651324079;102,05692256303185
1663157297000;53,5614802;9,9756749;3,02;3,02;58,6;0;0,16999999999999993;651;13;0;579;0;1243;0;0,0001392249103942652;0,0003708951612903225;109,95681147949215;58,18965821100214;30,141504355971833;102,19949851215316
1663157298000;53,5614531;9,9756675;3,28;3,28;58,6;0;0,2599999999999998;1068;16;0;629;0;1713;0;0,00019186827956989245;0,0005111370967741935;110,21169912847337;57,88816474721668;29,85715054129286;102,56332337782625
1663157299000;53,5614124;9,9756571;3,27;3,27;58,6;0;-0,009999999999999787;-43;16;0;627;0;600;0;0,00006720430107526882;0,00017903225806451613;109,50234933484644;57,59100352992513;29,578111751187315;102,30838970657163
1663157300000;53,5613933;9,9756494;2,51;2,51;58,6;0;-0,7600000000000002;-2867;7;0;481;0;0;0;0;0;108,96402766136298;57,341823452807326;29,304240346083727;101,83835319469578
1663157301000;53,5613785;9,9756433;1,91;1,91;58,6;0;-0,5999999999999999;-1731;3;0;366;0;0;0;0;0;108,55792148583767;57,14301202828535;29,03539410437654;101,4604889437312
1663157302000;53,5613667;9,9756388;1,68;1,68;58,6;0;-0,22999999999999998;-539;2;0;322;0;0;0;0;0;108,20321223561167;56,9664055942273;28,77143597615493;101,11802834631973
1663157303000;53,5613552;9,9756356;1,59;1,59;58,6;0;-0,08999999999999986;-193;1;0;305;0;113;0;0,000012656810035842294;0,00003371774193548387;107,86963374321297;56,79932567523973;28,51223385024363;100,85318929388019
1663157304000;53,5613382;9,9756322;1,63;1,63;58,4;0;0,039999999999999813;84;2;-2560,4100000000367;313;0;0;0;0;0;107,60415997822857;56,62955318966606;28,257660333723596;100,52211343312337
1663157305000;53,5613302;9,9756312;1,02;1,02;58,4;0;-0,6099999999999999;-1055;0;0;195;0;0;0;0;0;107,39243883012324;56,52037267368469;28,007592543159664;100,28062131283907
1663157306000;53,5613268;9,9756327;0;0;58,4;4;-1,02;-679;0;0;0;372;372;1;0,000041666666666666665;0,000111;107,39243883012324;56,52037267368469;29,612706033937236;100,38629925256788
1663157308000;53,5613227;9,9756402;0;0;58,4;4;0;0;0;0;0;744;744;2;0,00008333333333333333;0,000222;107,39243883012324;56,52037267368469;32,73990990390045;100,5970510372053
1663157309000;53,5613153;9,9756429;1,4;1,4;58,2;0;1,4;1278;1;-2560,4099999999453;268;0;0;0;0;0;108,22961732147431;56,37392903005135;32,46008161412352;100,30257476182791
1663157310000;53,5612927;9,9756422;3,11;3,11;58,2;0;1,71;5032;14;0;597;0;5643;0;0,0006320564516129032;0,0016837983870967741;111,99175084188184;56,101686455146016;32,184996176715686;102,79336665437793
1663157311000;53,5612517;9,9756363;4,76;4,76;58,2;0;1,65;8473;51;0;914;0;9438;0;0,0010571236559139784;0,0028161774193548386;118,33303259631991;55,81959281933288;31,914534023970177;107,03437473927045
1663157312000;53,5611973;9,9756221;5,6;5,6;58,2;0;0,8399999999999999;5678;84;0;1075;0;6837;0;0,0007657930107526881;0,0020400725806451613;121,96537775648208;55,594314236803136;31,648579573770423;109,71123445909438
1663157313000;53,5611016;9,9755903;8,06;8,06;58,2;0;2,460000000000001;21926;251;0;1547;0;23724;0;0,002657258064516129;0,007078935483870968;138,6934936230403;55,82656418548676;31,387021064896288;120,76143866068495
1663157314000;53,5610072;9,975551;9,4;9,4;58,2;0;1,3399999999999999;15266;398;0;1805;0;17469;0;0,0019566532258064513;0,005212524193548386;149,01712845329084;56,52646625368204;31,129750400429923;128,1000638846272
1663157315000;53,5608931;9,9755049;9,38;9,38;58,4;0;-0,019999999999999574;-246;395;2560,4099999999453;1801;0;4510,409999999945;0;0,0005051982526881659;0,0013458481451612738;146,5215817483724;57,19456878826418;30,876662998800413;127,37648515189544
1663157316000;53,5608245;9,975482;9,51;9,51;58,4;0;0,129999999999999;1602;412;0;1826;0;3840;0;0,0004301075268817204;0,0011458064516129032;145,36322358485415;57,89439777454677;30,6276576520359;127,59655822535403
1663157317000;53,560745;9,9754544;10,05;10,05;58,4;0;0,5400000000000009;6891;486;0;1929;0;9306;0;0,0010423387096774193;0,0027767903225806453;148,28631237581064;58,809693756602655;30,382636390819613;130,41775014082077
1663157318000;53,5606549;9,975432;10,3;10,3;58,4;0;0,25;3319;524;0;1977;0;5820;0;0,0006518817204301075;0,0017366129032258064;148,2735154963766;59,8127383295113;30,141504355971836;131,42402847693722
1663157319000;53,5605633;9,9754085;10,06;10,06;58,4;0;-0,2400000000000002;-3189;488;0;1931;0;0;0;0;0;145,7875871829697;60,6693889953185;29,90416967600355;129,6492424379942
1663157320000;53,560466;9,9753919;10,47;10,47;58,4;0;0,41000000000000014;5492;550;0;2010;0;8052;0;0,0009018817204301074;0,0024026129032258064;147,40613123588565;61,68916878457554;29,670543350409773;131,66726480215476
1663157321000;53,5603657;9,9753788;10,8;10,8;58,4;0;0,33000000000000007;4579;604;0;2073;0;7256;0;0,0008127240143369174;0,0021650967741935483;148,21869172108663;62,838790276690204;29,44053913839109;133,20462365380922
1663157322000;53,5602673;9,9753764;10,73;10,73;58,4;0;-0,07000000000000028;-984;592;0;2060;0;1668;0;0,0001868279569892473;0,0004977096774193548;145,70237673260942;63,91401318130847;29,21407345271116;132,14049035963583
1663157323000;53,5601714;9,9753728;10,29;10,29;58,4;0;-0,4400000000000013;-6035;522;0;1975;0;0;0;0;0;143,36821703560707;64,749027442467;28,991065258415656;130,41499509062277
1663157324000;53,5600807;9,9753769;10,16;10,16;58,4;0;-0,129999999999999;-1735;503;0;1951;0;719;0;0,00008053315412186379;0,00021454032258064513;141,13577912933903;65,50228623349437;28,77143597615493;129,0771333748134
1663157325000;53,5599853;9,9753756;10,4;10,4;58,4;0;0,2400000000000002;3219;539;0;1997;0;5755;0;0,0006446012544802866;0,0017172177419354836;141,1452095912216;66,3342630887057;28,555109389868054;129,96564902017687
1663157326000;53,5598854;9,9753763;10,77;10,77;58,4;0;0,3699999999999992;5110;599;0;2068;0;7777;0;0,0008710797491039426;0,002320556451612903;142,36216835601005;67,30600001216521;28,342011558600383;131,6593962513275
1663157327000;53,5597832;9,9753785;10,83;10,83;58,4;0;0,0600000000000005;845;609;0;2079;0;3533;0;0,00039572132616487454;0,0010542016129032258;140,67530305351042;68,27478661211279;28,13207073224038;131,4704548558747
1663157328000;53,5596847;9,9753784;10,73;10,73;58,4;0;-0,09999999999999964;-1407;592;0;2060;0;1245;0;0,0001394489247311828;0,000371491935483871;138,50409435144317;69,16839414325705;27,925217270973906;130,3281547869159
1663157329000;53,5595884;9,9753806;10,52;10,52;58,4;0;-0,21000000000000085;-2912;558;0;2020;0;0;0;0;0;136,4394760518425;69,94523313026335;27,721383568266067;128,71995950338345
1663157330000;53,5594919;9,9753853;10,97;10,97;58,4;0;0,45000000000000107;6310;633;0;2106;0;9049;0;0,0010135528673835125;0,0027001048387096773;138,38191657039042;70,89322474545301;27,520503977191673;130,84508600813695
1663157331000;53,5593933;9,9753871;11,15;11,15;58,4;0;0,17999999999999972;2597;664;0;2141;0;5402;0;0,0006050627240143368;0,0016118870967741935;137,89620263496965;71,89433145675216;27,322514739945692;131,39640906894948
1663157332000;53,5592943;9,9753903;11,04;11,04;58,4;0;-0,11000000000000121;-1593;645;0;2120;0;1172;0;0,00013127240143369175;0,00034970967741935485;135,6796857416611;72,33220222337735;27,183645044337712;130,03919708972572
1663157333000;53,5591947;9,9753898;10,92;10,92;58,4;0;-0,11999999999999922;-1720;624;0;2096;0;1000;0;0,00011200716845878135;0,00029838709677419353;133,48268468263487;72,47608713908956;27,071754962988404;128,57459222856517
1663157334000;53,5590786;9,97541;10,98;10,98;57,8;0;0,0600000000000005;857;634;-7681,230000000019;2108;0;0;0;0;0;131,85354653584298;72,62066917056626;26,961638068000465;126,74366010399882
1663157335000;53,5589892;9,9754233;10,9;10,9;57,8;0;-0,08000000000000007;-1143;621;0;2093;0;1571;0;0,0001759632616487455;0,0004687661290322581;129,78369804057843;72,7264145573818;26,85128145123501;125,58246406268749
1663157336000;53,5588946;9,9754431;10,39;10,39;57,8;0;-0,5099999999999998;-7085;537;0;1995;0;0;0;0;0;127,87692803734996;72,69247345191148;26,734669526484943;123,93827316666899
1663157337000;53,5588023;9,9754683;9,96;9,96;57,8;0;-0,4299999999999997;-5710;473;0;1912;0;0;0;0;0;126,10691731137445;72,56573769306827;26,613088418149722;122,40644658224649
1663157338000;53,5587145;9,9755005;9,74;9,74;57,8;0;-0,22000000000000064;-2828;443;0;1870;0;0;0;0;0;124,42528065205775;72,40014110415551;26,489578444953427;120,94543224056503
1663157339000;53,5586292;9,9755473;9,89;9,89;57,8;0;0,15000000000000036;1921;463;0;1899;0;4283;0;0,00047972670250896054;0,001277991935483871;123,83020458039707;72,26060669908999;26,369256161729577;121,07148063162872
1663157340000;53,5585446;9,9756061;10,1;10,1;57,8;0;0,20999999999999908;2739;494;0;1939;0;5172;0;0,0005793010752688172;0,001543258064516129;123,66061880092343;72,15798406312251;26,252861889111472;121,48088128587781
1663157341000;53,5584643;9,9756751;9,81;9,81;57,8;0;-0,28999999999999915;-3768;452;0;1883;0;0;0;0;0;122,05913265781383;72,00497245918731;26,13360343737583;120,06559164792898
1663157342000;53,55839;9,9757505;9,41;9,41;57,8;0;-0,40000000000000036;-5017;399;0;1807;0;0;0;0;0;120,56762845255966;71,79649789014373;26,010112201264857;118,74357904334916
1663157343000;53,5583213;9,9758212;8,99;8,99;57,8;0;-0,41999999999999993;-5043;348;0;1726;0;0;0;0;0;119,1834078752182;71,54460553995176;25,882260242878964;117,51422897232999
