Time[ms];Latitude;Longitude;Speed[m/s];Distance;Altitude[m];Flag;Acceleration[m/s^2];AccWork[J];AeroWork[J];GradeWork[J];RollWork[J];StandStillWork[J];TotalWork[J];StandStillTime[s];Fuel[l];CO2[kg];AccECE[%];AeroECE[%];STSECE[%];WorkECE[%]
1663233844278;53,5551672;9,9737374;1,66;;61,6;0;;;;;;;;;;;;;;
1663233845466;53,5550752;9,9737207;1,77;2,10276;61,6;0;0,09259259259259268;376;4;0;616;0;996;0;0,00011155913978494623;0,00029719354838709676;53,60174146219395;3,4333064996801332;0;2,2094096435795
1663233847000;53,55501;9,9736979;2,72;4,17248;61,6;0;0,6192959582790092;4252;19;0;1224;0;5495;0;0,0006154793906810035;0,0016396370967741935;221,0199299602383;6,541441776938188;0;13,735868896561584
1663233848000;53,5549759;9,9736878;3,09;3,09;61,6;0;0,36999999999999966;2143;18;0;906;0;3067;0;0,0003435259856630824;0,0009151532258064516;216,66688382021127;7,835547248159715;0;19,578659064174893
1663233849000;53,5549357;9,9736535;5,54;5,54;61,6;0;2,45;21080;108;0;1625;0;22813;0;0,002555219534050179;0,006807104838709678;300;17,424554479848222;0;63,04964260427103
1663233850000;53,5548863;9,9736085;6,58;6,58;61,6;0;1,04;12566;181;0;1930;0;14677;0;0,0016439292114695339;0,004379427419354838;300;26,619434937936624;0;86,68814162999234
1663233851000;53,55483;9,9735609;7,83;7,83;61,6;0;1,25;17958;305;0;2297;0;20560;0;0,0023028673835125447;0,006134838709677419;300;37,45507074814019;0;117,18512717767385
1663233852000;53,5547624;9,9735057;8,22;8,22;61,6;0;0,39000000000000057;6240;353;0;2411;0;9004;0;0,0010085125448028674;0,0026866774193548388;300;45,468573687014306;0;125,04621039552507
1663233853000;53,5546948;9,973445;8,59;8,59;61,6;0;0,3699999999999992;6201;403;0;2520;0;9124;0;0,001021953405017921;0,002722483870967742;300;51,58385218007693;0;131,7378263875535
1663233854000;53,5546217;9,9733812;9,48;9,48;61,6;0;0,8900000000000006;16034;542;0;2781;0;19357;0;0,0021681227598566305;0,005775879032258064;300;53,88720475196087;0;149,38330400994477
1663233855000;53,5545358;9,9733074;10,11;10,11;61,6;0;0,629999999999999;12304;657;0;2966;0;15927;0;0,0017839381720430106;0,004752411290322581;300;56,11247425837638;0;159,19047044692238
1663233856000;53,5544511;9,9732319;10,7;10,7;61,6;0;0,5899999999999999;12241;779;0;3139;0;16159;0;0,0018099238351254477;0,004821637096774193;300;58,24544009313909;0;167,10695987049755
1663233857000;53,5543642;9,9731514;11,07;11,07;61,6;0;0,370000000000001;8030;863;0;3248;0;12141;0;0,0013598790322580643;0,0036227177419354837;300;59,94058917799182;0;168,87923670345464
1663233858000;53,5542751;9,9730684;11,74;11,74;61,6;0;0,6699999999999999;15236;1029;0;3444;0;19709;0;0,0022075492831541213;0,005880911290322579;300;61,898284246345426;0;177,49315474829373
1663233859000;53,5541812;9,9729812;12,11;12,11;61,6;0;0,3699999999999992;8798;1130;0;3553;0;13481;0;0,0015099686379928315;0,004022556451612903;300;63,570351079033074;0;178,35325998662142
1663233860000;53,5540852;9,9728928;12,53;12,53;61,6;0;0,41999999999999993;10317;1251;0;3676;0;15244;0;0,001707437275985663;0,004548612903225806;300;65,14001910978581;0;180,1646545439553
1663233861000;53,5539865;9,9728037;12,98;12,98;61,6;0;0,45000000000000107;11445;1391;0;3808;0;16644;0;0,0018642473118279568;0,004966354838709677;300;66,69012535515891;0;182,37727694301256
1663233862000;53,5538848;9,9727121;13,17;13,17;61,6;0;0,1899999999999995;4953;1453;0;3864;0;10270;0;0,0011503136200716843;0,003064435483870967;299,96244436361155;67,9216462925286;0;178,98282196487435
1663233863000;53,5537819;9,9726195;13,08;13,08;61,6;0;-0,08999999999999986;-2356;1423;0;3837;0;2904;0;0,00032526881720430106;0,0008665161290322581;273,4418915954494;68,6561794367797;0;170,53266463914804
1663233864000;53,5536797;9,9725269;13,03;13,03;61,6;0;-0,05000000000000071;-1302;1407;0;3823;0;3928;0;0,00043996415770609313;0,001172064516129032;251,21931807893904;69,10029777165752;0;163,77679742202486
1663233865000;53,5535768;9,9724328;13,09;13,09;61,6;0;0,0600000000000005;1562;1427;0;3840;0;6829;0;0,0007648969534050178;0,0020376854838709676;234,29635020186214;69,43061719677442;0;159,6122319781335
1663233866000;53,5534746;9,9723363;12,92;12,92;61,6;0;-0,16999999999999993;-4409;1372;0;3790;0;753;0;0,00008434139784946236;0,00022468548387096773;217,96395824283675;69,52980419683499;0;152,1240168299626
1663233867000;53,5533744;9,9722386;13,1;13,1;61,6;0;0,17999999999999972;4669;1430;0;3843;0;9942;0;0,0011135752688172043;0,0029665645161290324;209,02546458304792;69,67396941080851;0;150,77387932644217
1663233868000;53,5532724;9,97214;13,32;13,32;61,6;0;0,22000000000000064;5794;1503;0;3908;0;11205;0;0,0012550403225806452;0,003343427419354839;202,1537577701623;69,88120096380578;0;150,11124497125385
1663233869000;53,5531694;9,9720414;13,45;13,45;61,6;0;0,129999999999999;3469;1548;0;3946;0;8963;0;0,0010039202508960573;0,002674443548387097;193,50723044278305;70,09215414832362;0;148,17672164761103
1663233870000;53,5530644;9,9719422;13,46;13,46;61,6;0;0,010000000000001563;268;1551;0;3949;0;5768;0;0,0006460573476702508;0,0017210967741935481;182,6675809925876;70,24595405622645;0;144,713179155561
1663233871000;53,5529564;9,9718449;13,31;13,31;61,6;0;-0,15000000000000036;-4004;1500;0;3905;0;1401;0;0,0001569220430107527;0,0004180403225806452;172,8635076464715;70,28283345501535;0;139,4190745475027
1663233872000;53,5527595;9,9716601;13,19;13,19;63,8;0;-0,120000000000001;-3171;1460;43034,507999999914;3870;0;45193,507999999914;0;0,0050619968637992735;0,013485159645161265;164,13662915342337;70,24457993848313;0;134,97442913295578
1663233873000;53,5527032;9,9716169;13,2;13,2;63,8;0;0,009999999999999787;263;1463;0;3873;0;5599;0;0,0006271281362007167;0,0016706693548387095;156,4504973653325;70,19724623713711;0;132,4607975643306
